,ten
474,50.0
645,50.0
647,50.0
655,50.0
293,50.0
673,50.0
264,50.0
320,50.0
313,50.0
614,50.0
625,50.0
325,50.0
715,50.0
223,50.0
210,50.0
744,50.0
745,50.0
677,50.0
679,50.0
252,50.0
251,50.0
701,50.0
417,50.0
411,50.0
520,50.0
393,50.0
467,50.0
468,50.0
544,50.0
353,50.0
351,50.0
347,50.0
591,50.0
338,50.0
334,50.0
372,50.0
379,50.0
561,50.0
366,50.0
194,50.0
845,50.0
858,50.0
878,50.0
119,50.0
818,50.0
882,50.0
935,50.0
943,50.0
146,50.0
131,50.0
811,50.0
66,49.411764705900005
726,49.375
151,49.375
10,49.3333333333
537,49.285714285699996
395,49.285714285699996
920,49.285714285699996
134,49.285714285699996
760,49.285714285699996
526,49.2307692308
305,49.0909090909
545,49.0909090909
900,49.0909090909
531,49.0
462,49.0
901,49.0
885,49.0
82,49.0
79,49.0
534,48.8235294118
318,48.75
835,48.75
741,48.75
307,48.75
796,48.75
650,48.75
638,48.75
4,48.75
525,48.75
437,48.75
369,48.571428571400006
916,48.571428571400006
65,48.571428571400006
428,48.571428571400006
894,48.4615384615
203,48.3333333333
453,48.3333333333
383,48.181818181800004
332,48.181818181800004
422,48.125
704,48.0
931,48.0
128,48.0
76,47.7777777778
812,47.6923076923
168,47.6923076923
396,47.6923076923
461,47.6923076923
322,47.5
83,47.5
284,47.3333333333
661,47.2727272727
750,47.058823529399994
719,46.6666666667
189,46.6666666667
484,46.4705882353
510,46.4705882353
75,45.4545454545
98,45.3846153846
449,45.3846153846
355,44.7058823529
47,44.7058823529
485,44.5454545455
765,44.5454545455
557,44.5454545455
218,44.4444444444
61,44.0
865,43.75
939,43.75
573,43.636363636400006
274,43.636363636400006
570,43.5294117647
910,43.3333333333
536,43.3333333333
175,43.3333333333
197,42.3076923077
592,42.3076923077
114,42.3076923077
