,sevenfive
648,41.9047619048
950,41.8181818182
640,41.5
704,41.3636363636
814,41.3043478261
609,41.0526315789
82,40.9523809524
794,40.476190476199996
276,40.4347826087
862,40.0
52,40.0
641,40.0
714,40.0
344,39.6
652,39.5652173913
261,39.0909090909
734,39.0476190476
165,38.75
69,38.6666666667
160,38.6363636364
791,38.5714285714
468,38.4
702,38.2142857143
558,38.1818181818
877,38.0952380952
355,38.0952380952
440,38.0
59,37.9310344828
121,37.878787878800004
894,37.7419354839
919,37.7272727273
571,37.7272727273
197,37.5
132,37.5
61,37.5
3,37.5
548,37.4193548387
792,37.4193548387
25,37.2727272727
859,37.241379310300005
904,37.1428571429
19,37.1428571429
169,37.0
342,37.0
153,37.0
179,37.0
462,37.0
129,36.8571428571
486,36.842105263200004
899,36.8
840,36.7741935484
954,36.7647058824
519,36.6666666667
870,36.5384615385
199,36.5217391304
863,36.5
563,36.5
326,36.5
146,36.4
107,36.176470588200004
42,36.1290322581
724,36.1290322581
612,36.1111111111
456,36.0714285714
911,36.0
518,36.0
0,36.0
710,36.0
284,35.9375
29,35.9259259259
618,35.9090909091
892,35.9090909091
73,35.8064516129
327,35.7142857143
481,35.7142857143
673,35.7142857143
706,35.7142857143
241,35.652173913
934,35.652173913
85,35.588235294099995
390,35.588235294099995
465,35.5555555556
256,35.5555555556
307,35.526315789499996
139,35.4838709677
280,35.4838709677
823,35.4545454545
867,35.4545454545
539,35.4285714286
140,35.4285714286
751,35.2631578947
506,35.2380952381
796,35.2173913043
502,35.2173913043
487,35.1612903226
527,35.1428571429
290,35.0
330,35.0
122,34.8571428571
657,34.8387096774
700,34.8387096774
483,34.8
760,34.6428571429
752,34.594594594600004
810,34.5454545455
693,34.5161290323
297,34.358974359
935,34.358974359
168,34.2857142857
100,34.2424242424
512,34.2424242424
683,34.1935483871
404,34.1666666667
111,34.1176470588
365,33.9393939394
460,33.6363636364
348,33.6111111111
597,33.6
156,33.5714285714
299,33.5294117647
329,33.4782608696
400,33.4782608696
267,33.4482758621
147,33.3333333333
172,33.3333333333
266,33.2352941176
240,33.1818181818
770,33.1034482759
431,33.0555555556
617,32.962962963
671,32.8571428571
35,32.6470588235
848,32.631578947399994
638,32.5
62,32.4137931034
772,32.2580645161
568,32.1621621622
232,32.121212121199996
422,32.0689655172
826,32.0689655172
926,32.0512820513
905,31.944444444400002
54,31.4285714286
159,30.9677419355
755,30.9375
472,30.909090909099998
944,30.8333333333
932,30.8333333333
403,30.6896551724
253,30.344827586199997
736,30.0
109,30.0
654,29.729729729699997
315,29.4594594595
305,29.0
96,28.947368421100002
628,28.918918918899998
591,28.7179487179
809,28.6666666667
807,28.5
233,27.0
445,26.1538461538
