,threefive
196,50.0
919,50.0
776,50.0
128,50.0
880,50.0
633,49.375
443,49.375
350,49.3333333333
186,49.3333333333
833,49.2592592593
539,49.1666666667
201,49.130434782600005
660,49.0909090909
32,49.0476190476
12,49.0476190476
254,49.0
431,48.888888888900006
700,48.8235294118
80,48.75
899,48.75
914,48.75
643,48.75
688,48.75
586,48.6956521739
499,48.6956521739
681,48.6956521739
433,48.6666666667
849,48.6666666667
517,48.571428571400006
323,48.5185185185
663,48.4210526316
246,48.4
601,48.3333333333
454,48.3333333333
768,48.3333333333
283,48.2352941176
460,48.2352941176
129,48.2352941176
461,48.148148148100006
718,48.148148148100006
446,48.125
399,48.125
547,48.076923076899995
402,48.0
680,48.0
23,48.0
28,47.931034482799994
500,47.931034482799994
478,47.9166666667
82,47.8947368421
809,47.8947368421
582,47.8260869565
740,47.8260869565
883,47.8260869565
522,47.7777777778
848,47.6923076923
359,47.6923076923
111,47.647058823500004
286,47.647058823500004
303,47.647058823500004
57,47.647058823500004
881,47.6
734,47.5
877,47.5
381,47.5
672,47.4193548387
248,47.4074074074
158,47.391304347799995
174,47.3333333333
24,47.3333333333
370,47.2413793103
542,47.2222222222
642,47.2
549,47.2
66,47.2
536,47.1428571429
329,47.1428571429
702,47.1428571429
38,47.1428571429
65,47.058823529399994
206,47.058823529399994
212,47.037037037
511,47.037037037
851,46.923076923100005
79,46.923076923100005
709,46.923076923100005
21,46.8965517241
922,46.875
405,46.8421052632
543,46.8
657,46.8
262,46.785714285699996
335,46.6666666667
11,46.6666666667
923,46.6666666667
255,46.6666666667
566,46.6666666667
550,46.6666666667
624,46.6666666667
754,46.5517241379
297,46.5384615385
580,46.5
127,46.4705882353
829,46.4705882353
137,46.4705882353
37,46.4705882353
63,46.4705882353
351,46.4705882353
825,46.4
430,46.363636363599994
921,46.3333333333
483,46.3333333333
685,46.3157894737
736,46.2962962963
155,46.25
889,46.25
348,46.25
119,46.25
46,46.2068965517
0,46.1538461538
369,46.1538461538
349,46.111111111099994
59,46.071428571400006
69,46.0
679,46.0
544,45.9259259259
792,45.8823529412
258,45.8823529412
520,45.8333333333
630,45.789473684200004
512,45.789473684200004
670,45.789473684200004
878,45.789473684200004
220,45.7692307692
227,45.7692307692
233,45.714285714300004
502,45.6666666667
260,45.652173913
7,45.652173913
613,45.652173913
827,45.625
818,45.625
587,45.625
717,45.6
71,45.6
442,45.5555555556
895,45.5
830,45.48387096770001
236,45.4545454545
935,45.4545454545
252,45.4166666667
112,45.4166666667
504,45.4166666667
796,45.3846153846
299,45.3846153846
313,45.3571428571
72,45.3333333333
147,45.2941176471
231,45.2631578947
813,45.2380952381
61,45.2173913043
730,45.0
256,45.0
726,45.0
164,45.0
277,45.0
384,45.0
884,45.0
450,45.0
619,45.0
338,45.0
569,45.0
448,44.7826086957
920,44.7826086957
293,44.7368421053
696,44.7058823529
723,44.6153846154
781,44.6153846154
136,44.5833333333
216,44.5833333333
39,44.5833333333
271,44.5454545455
704,44.5
911,44.4444444444
767,44.4444444444
665,44.4444444444
325,44.4444444444
917,44.4
482,44.4
605,44.375
195,44.285714285699996
139,44.285714285699996
321,44.2307692308
238,44.1666666667
469,44.1666666667
698,44.0909090909
141,44.0
654,44.0
614,44.0
398,44.0
579,44.0
548,43.8095238095
858,43.75
842,43.75
444,43.6666666667
148,43.636363636400006
270,43.6
574,43.571428571400006
651,43.4615384615
204,43.4615384615
626,43.3333333333
886,43.3333333333
419,43.3333333333
887,43.2
193,43.2
712,43.181818181800004
88,43.181818181800004
19,43.0434782609
741,42.9411764706
356,42.9411764706
301,42.9166666667
280,42.8
467,42.8
62,42.4
750,42.3333333333
691,42.3076923077
637,42.2727272727
662,42.0833333333
831,41.9230769231
250,41.7391304348
635,41.6666666667
714,41.4285714286
491,41.3043478261
677,41.1111111111
594,40.869565217399995
938,40.370370370399996
327,40.0
573,39.5454545455
