,nine
454,50.0
468,34.0
409,33.75
745,33.0
171,31.25
437,30.0
811,30.0
318,30.0
650,28.75
835,28.75
525,28.75
4,28.75
397,28.5714285714
741,27.5
878,26.6666666667
348,26.6666666667
347,26.6666666667
10,26.0
591,25.4545454545
677,25.0
396,24.6153846154
101,24.285714285700003
293,23.5714285714
920,23.5714285714
845,23.3333333333
733,23.0769230769
320,23.0
124,22.8571428571
916,22.8571428571
561,22.7272727273
332,22.7272727273
879,22.5
459,22.5
351,22.0
205,22.0
786,21.428571428599998
635,21.428571428599998
728,21.25
393,21.111111111099998
280,21.111111111099998
344,21.0
679,20.8333333333
730,20.7692307692
758,20.625
194,20.0
531,20.0
197,20.0
134,20.0
119,20.0
592,20.0
544,20.0
379,20.0
865,19.375
712,19.2857142857
760,19.2857142857
526,19.2307692308
111,19.1666666667
366,19.1666666667
51,19.1666666667
935,19.0909090909
943,19.0909090909
859,19.0
886,18.888888888900002
791,18.571428571400002
573,18.1818181818
331,18.0
63,18.0
796,17.5
748,17.5
353,17.5
765,17.2727272727
162,17.2727272727
661,17.2727272727
383,17.2727272727
781,17.1428571429
369,17.1428571429
484,17.0588235294
79,17.0
818,17.0
704,17.0
114,16.9230769231
372,16.875
638,16.875
151,16.875
175,16.6666666667
122,16.6666666667
520,16.6666666667
490,16.428571428599998
652,16.25
625,16.25
894,16.1538461538
224,16.0
931,16.0
462,16.0
885,16.0
66,15.882352941199999
417,15.882352941199999
477,15.833333333299999
203,15.833333333299999
550,15.7142857143
422,15.625
858,15.5555555556
131,15.5555555556
305,15.4545454545
545,15.4545454545
75,15.4545454545
98,15.3846153846
47,15.2941176471
65,15.2380952381
428,15.0
461,14.6153846154
99,14.5454545455
274,14.5454545455
485,14.5454545455
76,14.4444444444
453,14.166666666700001
570,14.117647058800001
534,14.117647058800001
910,14.0
557,13.6363636364
411,13.6363636364
355,13.5294117647
218,13.333333333299999
726,13.125
449,13.0769230769
61,13.0
750,12.9411764706
510,12.9411764706
900,12.7272727273
