,threefive
773,50.0
500,50.0
718,50.0
707,50.0
119,50.0
223,50.0
744,50.0
441,50.0
745,50.0
462,50.0
353,50.0
907,50.0
414,50.0
347,50.0
293,50.0
30,49.375
216,49.375
203,49.1666666667
520,49.1666666667
285,49.0909090909
299,49.0
320,49.0
531,49.0
338,49.0
818,49.0
79,49.0
76,48.888888888900006
87,48.888888888900006
437,48.75
318,48.75
525,48.75
650,48.75
728,48.75
741,48.75
835,48.75
898,48.75
796,48.75
4,48.75
722,48.571428571400006
870,48.571428571400006
369,48.571428571400006
48,48.4615384615
811,48.3333333333
366,48.3333333333
677,48.3333333333
166,48.3333333333
252,48.181818181800004
411,48.181818181800004
885,48.0
351,48.0
478,48.0
479,48.0
544,48.0
660,47.8571428571
920,47.8571428571
803,47.8571428571
0,47.7777777778
108,47.7777777778
131,47.7777777778
417,47.647058823500004
372,47.5
128,47.5
638,47.5
422,47.5
49,47.5
10,47.3333333333
379,47.2727272727
42,47.2727272727
900,47.2727272727
591,47.2727272727
943,47.2727272727
334,47.1428571429
916,47.1428571429
461,46.923076923100005
151,46.875
530,46.6666666667
65,46.6666666667
845,46.6666666667
194,46.428571428599994
606,46.428571428599994
661,46.363636363599994
625,46.25
453,45.8333333333
428,45.714285714300004
193,45.625
532,45.4545454545
935,45.4545454545
733,45.3846153846
526,45.3846153846
894,45.3846153846
510,45.2941176471
750,45.2941176471
134,45.0
760,45.0
122,45.0
856,45.0
66,44.7058823529
396,44.6153846154
98,44.6153846154
534,44.1176470588
858,43.888888888900006
939,43.75
305,43.636363636400006
561,43.636363636400006
557,43.636363636400006
748,43.3333333333
152,43.125
865,43.125
449,43.076923076899995
355,42.9411764706
484,42.9411764706
332,42.7272727273
485,42.7272727273
75,42.7272727273
765,42.7272727273
175,42.5
197,42.3076923077
704,42.0
573,41.8181818182
274,41.8181818182
383,41.8181818182
570,41.7647058824
536,41.6666666667
114,41.5384615385
592,41.5384615385
47,41.176470588200004
218,41.1111111111
61,38.0
910,37.3333333333
