,twen
762,49.7368421053
690,49.1176470588
134,49.0
43,49.0
51,48.9743589744
880,48.9655172414
176,48.9130434783
124,48.7804878049
778,48.709677419399995
550,48.6956521739
585,48.611111111099994
165,48.571428571400006
177,48.571428571400006
39,48.5365853659
893,48.4615384615
347,48.275862069
878,48.214285714300004
163,48.214285714300004
297,48.148148148100006
675,48.148148148100006
493,48.148148148100006
231,48.076923076899995
252,48.0434782609
927,48.0434782609
561,47.9545454545
182,47.8571428571
407,47.8571428571
327,47.8571428571
269,47.8048780488
346,47.7777777778
649,47.75
219,47.7083333333
538,47.608695652200005
125,47.6
48,47.5
641,47.5
121,47.5
147,47.4074074074
898,47.4074074074
839,47.4074074074
257,47.38095238100001
853,47.368421052600006
427,47.352941176499996
249,47.3333333333
530,47.3333333333
13,47.3333333333
771,47.3076923077
657,47.2727272727
486,47.2
678,47.1875
423,47.1794871795
330,47.1428571429
576,47.1428571429
238,47.058823529399994
867,47.037037037
542,47.037037037
906,47.037037037
394,47.037037037
114,47.0
16,46.9565217391
33,46.923076923100005
344,46.8965517241
82,46.8965517241
187,46.8965517241
750,46.82926829270001
545,46.818181818199996
216,46.8085106383
548,46.8
691,46.7567567568
90,46.739130434799996
565,46.6666666667
1,46.6666666667
573,46.6666666667
634,46.5789473684
224,46.5384615385
758,46.5217391304
712,46.511627907
94,46.4864864865
592,46.4444444444
190,46.4
442,46.363636363599994
717,46.363636363599994
362,46.363636363599994
736,46.3157894737
921,46.285714285699996
746,46.279069767399996
127,46.279069767399996
178,46.279069767399996
671,46.25
672,46.216216216199996
303,46.2068965517
467,46.170212766000006
686,46.1538461538
75,46.136363636400006
161,46.071428571400006
815,46.0
19,46.0
168,45.9259259259
480,45.8333333333
763,45.7575757576
107,45.7446808511
334,45.714285714300004
281,45.714285714300004
272,45.714285714300004
247,45.681818181800004
495,45.6756756757
415,45.6756756757
515,45.625
753,45.5555555556
73,45.5
920,45.4545454545
536,45.4545454545
739,45.4545454545
404,45.428571428599994
150,45.428571428599994
112,45.428571428599994
360,45.4
67,45.3488372093
903,45.3333333333
373,45.3191489362
15,45.2941176471
837,45.2
174,45.185185185200005
590,45.185185185200005
283,45.185185185200005
429,45.111111111099994
744,45.0
633,45.0
287,45.0
439,45.0
329,44.814814814799995
96,44.7916666667
456,44.7368421053
398,44.6428571429
622,44.6
268,44.6
910,44.594594594600004
539,44.4897959184
403,44.473684210500004
575,44.468085106400004
624,44.375
11,44.3243243243
206,44.25
808,44.2424242424
44,44.130434782600005
370,44.1176470588
38,44.0740740741
263,43.8775510204
541,43.783783783800004
531,43.636363636400006
71,43.5135135135
458,43.5135135135
616,43.5135135135
857,43.260869565200004
357,43.1428571429
918,43.125
602,42.972972973000005
830,42.8260869565
210,42.777777777800004
405,42.7027027027
553,42.7027027027
45,42.5714285714
385,42.5714285714
24,42.5531914894
681,42.0408163265
79,42.0
144,41.0416666667
