,twen
596,50.0
659,50.0
346,50.0
689,50.0
942,50.0
845,50.0
652,50.0
85,49.7058823529
320,49.6875
344,49.6
279,49.5652173913
686,49.5454545455
112,49.5454545455
950,49.5454545455
919,49.5454545455
896,49.523809523800004
137,49.523809523800004
355,49.523809523800004
863,49.5
88,49.5
74,49.459459459499996
196,49.393939393900006
100,49.393939393900006
205,49.310344827600005
639,49.1176470588
613,49.0909090909
619,49.0476190476
894,49.0322580645
415,49.0
181,48.9655172414
751,48.947368421099995
453,48.928571428599994
450,48.75
796,48.6956521739
745,48.636363636400006
240,48.636363636400006
753,48.571428571400006
177,48.571428571400006
791,48.571428571400006
82,48.571428571400006
516,48.571428571400006
342,48.5
911,48.5
870,48.4615384615
609,48.4210526316
657,48.3870967742
693,48.3870967742
840,48.3870967742
147,48.3333333333
165,48.3333333333
256,48.3333333333
527,48.285714285699996
199,48.260869565200004
502,48.260869565200004
823,48.181818181800004
890,48.181818181800004
571,48.181818181800004
160,48.181818181800004
714,48.181818181800004
734,48.0952380952
862,48.0952380952
877,48.0952380952
632,48.064516129
431,48.0555555556
129,48.0
179,48.0
859,47.931034482799994
59,47.931034482799994
303,47.7419354839
168,47.714285714300004
122,47.714285714300004
921,47.714285714300004
294,47.631578947399994
19,47.61904761899999
207,47.61904761899999
403,47.5862068966
326,47.5
140,47.428571428599994
73,47.4193548387
487,47.4193548387
139,47.4193548387
683,47.4193548387
486,47.368421052600006
457,47.352941176499996
69,47.3333333333
518,47.3333333333
752,47.2972972973
922,47.2727272727
867,47.2727272727
445,47.1794871795
539,47.1428571429
481,47.1428571429
390,47.058823529399994
197,47.0
462,47.0
710,47.0
563,47.0
232,46.9696969697
604,46.9444444444
585,46.9444444444
591,46.923076923100005
935,46.923076923100005
442,46.8421052632
25,46.818181818199996
120,46.8
597,46.8
299,46.7647058824
277,46.75
348,46.6666666667
117,46.6666666667
897,46.5789473684
934,46.5217391304
111,46.4705882353
266,46.4705882353
42,46.451612903199994
0,46.4
483,46.4
843,46.363636363599994
810,46.363636363599994
460,46.363636363599994
956,46.216216216199996
612,46.111111111099994
290,46.0
899,46.0
892,45.9090909091
422,45.8620689655
267,45.8620689655
905,45.8333333333
365,45.7575757576
568,45.6756756757
209,45.6666666667
947,45.652173913
638,45.625
35,45.588235294099995
132,45.5
305,45.5
472,45.4545454545
953,45.4545454545
27,45.428571428599994
932,45.4166666667
109,45.3571428571
263,45.2173913043
742,45.172413793100006
512,45.15151515149999
671,45.0
233,44.75
807,44.75
330,44.6428571429
628,44.594594594600004
724,44.51612903229999
62,44.4827586207
617,44.4444444444
809,44.0
159,43.870967741899996
755,43.75
172,43.7037037037
280,43.2258064516
654,42.972972973000005
54,42.8571428571
736,42.6666666667
253,42.4137931034
156,42.1428571429
