,fifty
413,46.2068965517
578,46.129032258100004
147,45.9259259259
898,45.5555555556
928,45.3571428571
347,45.172413793100006
878,45.0
506,45.0
771,45.0
748,45.0
542,44.814814814799995
125,44.8
330,44.6428571429
231,44.6153846154
893,44.6153846154
177,44.571428571400006
839,44.4444444444
499,44.347826087
449,44.285714285699996
764,44.25
127,44.1860465116
48,44.1666666667
39,44.1463414634
394,44.0740740741
657,43.9393939394
161,43.928571428599994
690,43.8235294118
356,43.783783783800004
387,43.7777777778
493,43.7037037037
906,43.7037037037
486,43.6
800,43.571428571400006
14,43.571428571400006
744,43.571428571400006
176,43.4782608696
678,43.4375
576,43.428571428599994
174,43.3333333333
673,43.2558139535
21,43.2352941176
287,43.214285714300004
163,43.214285714300004
190,43.2
344,43.1034482759
925,43.0434782609
844,42.978723404300005
297,42.962962963
565,42.962962963
675,42.962962963
10,42.9545454545
853,42.8947368421
334,42.8571428571
476,42.8260869565
321,42.8125
548,42.8
815,42.8
187,42.758620689699995
530,42.6666666667
43,42.6666666667
879,42.631578947399994
62,42.631578947399994
753,42.5925925926
573,42.5641025641
423,42.5641025641
361,42.4242424242
246,42.3255813953
329,42.222222222199996
168,42.222222222199996
415,42.1621621622
165,42.1428571429
238,42.0588235294
671,42.0
686,41.9230769231
414,41.9230769231
364,41.914893617
620,41.842105263200004
617,41.842105263200004
570,41.8181818182
151,41.7948717949
33,41.7948717949
252,41.7391304348
111,41.6666666667
495,41.6216216216
658,41.5909090909
247,41.5909090909
920,41.5909090909
659,41.5625
206,41.5
867,41.4814814815
124,41.4634146341
19,41.4285714286
82,41.3793103448
717,41.3636363636
561,41.3636363636
553,41.3513513514
1,41.3333333333
114,41.25
776,41.1627906977
224,41.1538461538
150,41.1428571429
630,41.1363636364
515,41.0416666667
750,40.9756097561
545,40.9090909091
370,40.8823529412
427,40.8823529412
439,40.8823529412
357,40.8571428571
569,40.8571428571
541,40.8108108108
691,40.8108108108
634,40.789473684200004
633,40.7692307692
649,40.75
117,40.6976744186
303,40.689655172399995
219,40.625
602,40.540540540500004
342,40.4347826087
112,40.2857142857
272,40.2857142857
403,40.2631578947
411,40.0
98,40.0
73,40.0
71,40.0
283,40.0
263,40.0
616,40.0
808,39.696969697
590,39.629629629600004
456,39.473684210500004
405,39.459459459499996
11,39.459459459499996
210,39.1666666667
216,39.1489361702
221,39.1111111111
100,39.0909090909
575,38.9361702128
398,38.9285714286
249,38.8888888889
539,38.7755102041
96,38.75
38,38.5185185185
431,38.4090909091
360,38.4
458,38.3783783784
44,38.2608695652
531,38.1818181818
480,38.125
622,38.0
903,38.0
79,38.0
467,37.6595744681
624,37.5
385,37.4285714286
857,37.3913043478
910,37.2972972973
830,37.1739130435
429,36.8888888889
24,36.8085106383
45,36.5714285714
268,36.4
144,36.25
681,36.1224489796
918,36.0416666667
