,threefive
42,48.4848484848
517,47.391304347799995
57,47.2972972973
456,47.2727272727
855,47.2549019608
587,46.9811320755
392,46.9387755102
412,46.862745098000005
572,46.82926829270001
105,46.6666666667
801,46.6666666667
245,46.5853658537
283,46.5789473684
257,46.571428571400006
291,46.5306122449
322,46.428571428599994
181,46.388888888900006
146,46.363636363599994
583,46.3157894737
6,46.3157894737
424,46.2711864407
597,46.1538461538
15,46.136363636400006
849,46.097560975600004
118,46.052631578900005
906,46.052631578900005
707,45.9459459459
382,45.9459459459
363,45.9375
763,45.8974358974
621,45.8536585366
258,45.8333333333
280,45.789473684200004
121,45.714285714300004
163,45.609756097600005
134,45.5172413793
404,45.5102040816
462,45.5
774,45.405405405399996
113,45.3846153846
238,45.30612244899999
750,45.30612244899999
8,45.2777777778
345,45.2631578947
695,45.2631578947
411,45.2272727273
272,45.1428571429
752,45.128205128199994
191,45.0943396226
467,45.0
593,45.0
374,45.0
757,45.0
692,45.0
783,45.0
295,44.9019607843
553,44.897959183699996
582,44.883720930200006
7,44.814814814799995
503,44.7826086957
709,44.7826086957
565,44.7619047619
740,44.7368421053
890,44.7368421053
499,44.7058823529
408,44.6666666667
481,44.6551724138
384,44.6153846154
312,44.594594594600004
664,44.57627118640001
211,44.5454545455
350,44.5283018868
850,44.523809523800004
807,44.523809523800004
649,44.423076923100005
805,44.406779661
37,44.358974358999994
249,44.358974358999994
685,44.358974358999994
771,44.3243243243
662,44.3243243243
221,44.3243243243
848,44.3243243243
710,44.3243243243
371,44.2424242424
188,44.237288135600004
829,44.1666666667
314,44.1666666667
703,44.1666666667
285,44.1463414634
359,44.0540540541
232,44.0540540541
673,44.0540540541
67,44.0476190476
530,44.0384615385
561,44.0
722,43.947368421099995
912,43.928571428599994
150,43.898305084700006
66,43.8596491228
465,43.8596491228
820,43.783783783800004
522,43.783783783800004
62,43.75
155,43.7254901961
33,43.6842105263
244,43.6585365854
893,43.5849056604
910,43.5849056604
927,43.5135135135
413,43.4615384615
348,43.4210526316
99,43.3928571429
324,43.389830508500005
199,43.3333333333
894,43.3333333333
260,43.3333333333
53,43.076923076899995
883,43.0303030303
571,42.8947368421
687,42.8947368421
197,42.8846153846
816,42.8301886792
417,42.758620689699995
799,42.7272727273
529,42.5423728814
784,42.5
447,42.4242424242
18,42.3913043478
336,42.3728813559
877,42.2580645161
837,42.2580645161
106,42.2580645161
721,42.222222222199996
803,42.1568627451
279,42.1153846154
836,42.075471698099996
812,42.075471698099996
616,42.0454545455
852,41.724137931
916,41.6666666667
398,41.6129032258
576,41.5517241379
422,41.5254237288
739,41.4814814815
562,41.3888888889
853,41.3559322034
41,41.3157894737
208,41.25
506,41.0714285714
541,40.8571428571
265,40.789473684200004
119,40.5357142857
439,40.3773584906
143,40.1754385965
755,40.1724137931
