,nine
486,28.8
125,26.4
89,26.1538461538
565,25.925925925900003
633,25.7692307692
893,25.7692307692
559,25.714285714299997
548,25.6
174,25.555555555599998
867,25.555555555599998
724,25.555555555599998
347,25.5172413793
161,25.3571428571
837,25.2
839,25.185185185199998
888,25.185185185199998
771,25.0
14,25.0
321,25.0
110,24.8275862069
537,24.8
301,24.6666666667
224,24.6153846154
686,24.6153846154
493,24.444444444400002
283,24.444444444400002
329,24.444444444400002
815,24.4
287,24.285714285700003
555,24.2424242424
346,24.1666666667
303,24.1379310345
675,24.074074074099997
297,24.074074074099997
542,24.074074074099997
530,24.0
808,23.939393939400002
163,23.9285714286
878,23.9285714286
412,23.8709677419
344,23.7931034483
150,23.714285714299997
526,23.4482758621
394,23.3333333333
168,23.3333333333
590,23.3333333333
159,23.3333333333
330,23.214285714299997
39,23.1707317073
357,23.1428571429
151,23.0769230769
1,23.0
645,22.9411764706
334,22.8571428571
27,22.7777777778
17,22.6470588235
906,22.592592592600003
38,22.592592592600003
789,22.5714285714
53,22.4242424242
439,22.3529411765
43,22.3333333333
921,22.285714285700003
679,22.2727272727
678,22.1875
405,22.162162162199998
634,22.105263157899998
82,22.0689655172
370,22.0588235294
15,22.0588235294
314,22.0
553,21.891891891900002
753,21.8518518519
10,21.818181818200003
561,21.818181818200003
423,21.794871794899997
165,21.785714285700003
61,21.714285714299997
569,21.714285714299997
488,21.714285714299997
743,21.5789473684
598,21.5789473684
64,21.5217391304
130,21.5217391304
124,21.4634146341
744,21.428571428599998
112,21.428571428599998
48,21.388888888900002
210,21.388888888900002
602,21.3513513514
620,21.315789473699997
83,21.1764705882
252,21.0869565217
94,21.0810810811
451,21.0810810811
398,21.071428571400002
226,21.0256410256
246,20.9302325581
751,20.9302325581
545,20.9090909091
495,20.8108108108
379,20.8108108108
456,20.7894736842
736,20.7894736842
776,20.6976744186
16,20.652173913
385,20.571428571400002
415,20.5405405405
13,20.444444444400002
644,20.434782608699997
19,20.2857142857
45,20.2857142857
11,20.2702702703
853,20.2631578947
671,20.25
127,20.2325581395
603,20.2272727273
640,20.2272727273
665,20.0
910,20.0
403,20.0
71,20.0
452,20.0
541,19.7297297297
775,19.5454545455
739,19.5454545455
67,19.534883720899998
114,19.5
90,19.347826087
920,19.3181818182
458,19.1891891892
216,19.1489361702
649,19.0
73,19.0
107,18.9361702128
206,18.75
573,18.7179487179
281,18.571428571400002
247,18.4090909091
467,18.297872340399998
750,18.2926829268
830,17.3913043478
131,16.9565217391
758,16.5217391304
44,16.3043478261
810,16.1224489796
609,16.0869565217
801,15.833333333299999
310,15.8
531,15.4545454545
429,14.8888888889
79,14.8888888889
96,14.791666666700001
681,14.693877551
622,14.6
268,14.6
205,14.565217391300001
539,14.489795918399999
263,14.489795918399999
918,14.375
857,14.347826087
360,14.2
624,14.166666666700001
575,14.042553191500001
24,13.829787234000001
903,13.777777777799999
144,13.75
