,ten
585,50.0
877,49.75
51,49.7435897436
355,49.7368421053
905,49.729729729700004
115,49.6875
550,49.5652173913
691,49.459459459499996
668,49.428571428599994
690,49.411764705900005
124,49.2682926829
39,49.2682926829
176,49.130434782600005
538,49.130434782600005
193,49.0
32,48.9655172414
407,48.928571428599994
906,48.888888888900006
867,48.888888888900006
898,48.888888888900006
147,48.888888888900006
297,48.888888888900006
300,48.8461538462
252,48.6956521739
43,48.6666666667
347,48.6206896552
163,48.571428571400006
878,48.571428571400006
165,48.571428571400006
334,48.571428571400006
269,48.5365853659
839,48.5185185185
542,48.5185185185
493,48.5185185185
394,48.5185185185
675,48.5185185185
114,48.5
925,48.4782608696
713,48.4615384615
771,48.4615384615
678,48.4375
641,48.4090909091
576,48.285714285699996
187,48.275862069
130,48.260869565200004
249,48.2222222222
13,48.2222222222
14,48.214285714300004
573,48.2051282051
33,48.2051282051
561,48.181818181800004
617,48.1578947368
219,48.125
467,48.085106383
893,48.076923076899995
815,48.0
649,48.0
1,48.0
190,48.0
125,48.0
247,47.9545454545
221,47.7777777778
565,47.7777777778
281,47.7551020408
65,47.7272727273
814,47.6744186047
486,47.6
82,47.5862068966
545,47.5
48,47.5
419,47.4358974359
90,47.391304347799995
750,47.3170731707
866,47.2727272727
416,47.2727272727
442,47.2727272727
671,47.25
344,47.2413793103
216,47.2340425532
712,47.20930232560001
127,47.20930232560001
548,47.2
112,47.1428571429
744,47.1428571429
853,47.1052631579
21,47.058823529399994
427,47.058823529399994
536,47.0454545455
283,47.037037037
174,47.037037037
686,46.923076923100005
150,46.8571428571
879,46.8421052632
107,46.8085106383
837,46.8
161,46.785714285699996
330,46.785714285699996
746,46.7441860465
590,46.6666666667
515,46.6666666667
657,46.6666666667
753,46.6666666667
364,46.595744680900005
362,46.5909090909
634,46.5789473684
303,46.5517241379
224,46.5384615385
633,46.5384615385
73,46.5
530,46.3333333333
263,46.3265306122
329,46.2962962963
168,46.2962962963
404,46.285714285699996
272,46.285714285699996
480,46.25
903,46.2222222222
415,46.216216216199996
763,46.0606060606
620,46.052631578900005
19,46.0
360,46.0
373,45.9574468085
495,45.9459459459
431,45.9090909091
238,45.8823529412
15,45.8823529412
439,45.8823529412
624,45.8333333333
67,45.8139534884
268,45.8
403,45.789473684200004
429,45.7777777778
398,45.714285714300004
920,45.681818181800004
575,45.531914893599996
456,45.526315789499996
206,45.25
541,45.1351351351
96,45.0
287,45.0
622,45.0
616,44.8648648649
44,44.7826086957
370,44.7058823529
11,44.594594594600004
71,44.594594594600004
910,44.594594594600004
857,44.5652173913
38,44.4444444444
808,44.2424242424
918,44.1666666667
531,44.0909090909
539,44.0816326531
458,43.783783783800004
553,43.783783783800004
681,43.6734693878
602,43.5135135135
830,43.4782608696
357,43.428571428599994
24,43.404255319099995
210,43.3333333333
405,43.2432432432
385,43.1428571429
79,42.8888888889
45,42.8571428571
144,41.4583333333
