,threefive
534,48.3333333333
597,48.2352941176
347,47.931034482799994
327,47.8571428571
585,47.7777777778
697,47.6923076923
878,47.5
407,47.5
253,47.5
187,47.2413793103
125,47.2
176,47.1739130435
165,47.1428571429
355,47.1052631579
748,47.0
649,47.0
927,46.9565217391
177,46.8571428571
124,46.82926829270001
14,46.785714285699996
898,46.6666666667
724,46.6666666667
893,46.5384615385
815,46.4
455,46.388888888900006
43,46.3333333333
644,46.3043478261
906,46.2962962963
394,46.2962962963
867,46.2962962963
297,46.2962962963
691,46.216216216199996
303,46.2068965517
48,46.111111111099994
715,46.0869565217
330,46.071428571400006
161,46.071428571400006
576,46.0
764,46.0
839,45.9259259259
542,45.9259259259
247,45.9090909091
344,45.8620689655
324,45.8536585366
617,45.789473684200004
777,45.652173913
156,45.641025641000006
190,45.6
486,45.6
493,45.5555555556
387,45.5555555556
853,45.526315789499996
657,45.4545454545
334,45.3571428571
530,45.3333333333
741,45.2173913043
219,45.2083333333
565,45.185185185200005
573,45.128205128199994
641,45.0
375,45.0
598,45.0
736,45.0
771,45.0
249,44.888888888900006
419,44.871794871800006
763,44.84848484850001
442,44.84848484850001
753,44.814814814799995
283,44.814814814799995
675,44.814814814799995
666,44.7619047619
364,44.6808510638
1,44.6666666667
730,44.6511627907
287,44.6428571429
750,44.6341463415
224,44.6153846154
495,44.594594594600004
415,44.594594594600004
545,44.5454545455
739,44.5454545455
717,44.5454545455
281,44.4897959184
403,44.473684210500004
168,44.4444444444
329,44.4444444444
127,44.4186046512
548,44.4
678,44.375
33,44.358974358999994
672,44.3243243243
561,44.318181818199996
163,44.285714285699996
744,44.285714285699996
671,44.25
605,44.2
15,44.1176470588
238,44.1176470588
658,44.0909090909
174,44.0740740741
616,44.0540540541
112,44.0
216,43.829787233999994
213,43.714285714300004
920,43.636363636400006
85,43.636363636400006
837,43.6
206,43.5
758,43.4782608696
342,43.4782608696
263,43.4693877551
686,43.4615384615
82,43.4482758621
404,43.428571428599994
570,43.4090909091
373,43.404255319099995
38,43.3333333333
117,43.2558139535
114,43.25
541,43.2432432432
480,43.125
633,43.076923076899995
467,42.978723404300005
107,42.978723404300005
427,42.9411764706
634,42.8947368421
921,42.8571428571
910,42.7027027027
553,42.7027027027
11,42.7027027027
429,42.6666666667
439,42.6470588235
19,42.5714285714
150,42.5714285714
398,42.5
903,42.4444444444
808,42.4242424242
360,42.4
456,42.368421052600006
67,42.3255813953
624,42.2916666667
210,42.222222222199996
268,42.2
71,42.1621621622
405,41.8918918919
73,41.75
857,41.7391304348
918,41.6666666667
602,41.6216216216
590,41.4814814815
357,41.4285714286
622,41.2
96,41.0416666667
370,40.8823529412
44,40.869565217399995
681,40.8163265306
531,40.6818181818
830,40.652173913
575,40.6382978723
458,40.540540540500004
539,40.2040816327
144,40.0
79,40.0
45,39.7142857143
24,39.5744680851
385,39.4285714286
