,twen
82,50.0
870,50.0
350,50.0
849,50.0
460,50.0
506,50.0
776,50.0
539,50.0
734,50.0
730,50.0
727,50.0
577,50.0
633,50.0
57,50.0
660,50.0
23,50.0
679,50.0
877,50.0
285,50.0
880,50.0
919,50.0
6,50.0
914,50.0
233,50.0
899,50.0
323,49.629629629600004
707,49.629629629600004
547,49.6153846154
421,49.6153846154
521,49.6
246,49.6
402,49.6
768,49.5833333333
852,49.5833333333
12,49.523809523800004
454,49.4444444444
696,49.411764705900005
129,49.411764705900005
137,49.411764705900005
196,49.411764705900005
286,49.411764705900005
700,49.411764705900005
443,49.375
688,49.375
151,49.3333333333
255,49.3333333333
174,49.3333333333
24,49.3333333333
28,49.310344827600005
667,49.285714285699996
369,49.2307692308
881,49.2
543,49.2
601,49.1666666667
520,49.1666666667
499,49.130434782600005
740,49.130434782600005
582,49.130434782600005
178,49.0625
517,49.0476190476
500,48.9655172414
131,48.9655172414
685,48.947368421099995
869,48.928571428599994
718,48.888888888900006
833,48.888888888900006
0,48.8461538462
330,48.8461538462
851,48.8461538462
283,48.8235294118
206,48.8235294118
65,48.8235294118
657,48.8
25,48.8
642,48.8
922,48.75
643,48.75
399,48.75
80,48.75
827,48.75
681,48.6956521739
59,48.571428571400006
32,48.571428571400006
262,48.571428571400006
465,48.5185185185
939,48.5
297,48.4615384615
79,48.4615384615
549,48.4
566,48.3333333333
921,48.3333333333
624,48.3333333333
11,48.3333333333
555,48.275862069
111,48.2352941176
303,48.2352941176
63,48.2352941176
570,48.181818181800004
736,48.148148148100006
446,48.125
848,48.076923076899995
554,47.931034482799994
211,47.931034482799994
46,47.931034482799994
889,47.9166666667
720,47.8947368421
231,47.8947368421
809,47.8947368421
158,47.8260869565
260,47.8260869565
212,47.7777777778
923,47.7777777778
349,47.7777777778
232,47.7777777778
739,47.7777777778
544,47.7777777778
430,47.7272727273
338,47.6923076923
709,47.6923076923
723,47.6923076923
507,47.6666666667
579,47.6666666667
127,47.647058823500004
356,47.647058823500004
329,47.61904761899999
614,47.6
66,47.6
498,47.6
825,47.6
370,47.5862068966
898,47.5
313,47.5
381,47.5
301,47.5
613,47.391304347799995
448,47.391304347799995
405,47.368421052600006
670,47.368421052600006
935,47.2727272727
626,47.2222222222
911,47.2222222222
542,47.2222222222
813,47.1428571429
536,47.1428571429
39,47.0833333333
112,47.0833333333
826,47.058823529399994
792,47.058823529399994
895,47.0
704,47.0
580,47.0
19,46.9565217391
920,46.9565217391
781,46.923076923100005
569,46.875
605,46.875
878,46.8421052632
148,46.818181818199996
712,46.818181818199996
637,46.818181818199996
887,46.8
193,46.8
830,46.7741935484
48,46.6666666667
884,46.6666666667
619,46.6666666667
72,46.6666666667
119,46.6666666667
442,46.6666666667
541,46.5384615385
299,46.5384615385
7,46.5217391304
61,46.5217391304
37,46.4705882353
741,46.4705882353
258,46.4705882353
574,46.428571428599994
71,46.4
717,46.4
62,46.4
654,46.4
88,46.363636363599994
271,46.363636363599994
512,46.3157894737
665,46.2962962963
612,46.25
726,46.25
450,46.25
504,46.25
858,46.25
238,46.25
818,46.25
216,46.25
806,46.1538461538
321,46.1538461538
139,46.071428571400006
398,46.0
783,46.0
141,46.0
767,45.9259259259
236,45.9090909091
550,45.8333333333
469,45.8333333333
492,45.789473684200004
444,45.6666666667
419,45.5555555556
277,45.5555555556
256,45.4166666667
204,45.3846153846
164,45.3571428571
630,45.2631578947
587,45.0
220,45.0
691,45.0
573,45.0
842,45.0
677,45.0
917,44.8
270,44.8
377,44.7826086957
250,44.7826086957
548,44.7619047619
351,44.7058823529
195,44.6428571429
714,44.6428571429
280,44.4
651,44.2307692308
831,44.2307692308
635,44.1666666667
938,44.0740740741
70,44.0
886,43.75
750,43.6666666667
482,43.6
662,43.3333333333
594,43.0434782609
491,42.6086956522
327,42.5
