,nine
456,26.6666666667
668,26.6666666667
696,26.1111111111
550,25.8823529412
801,25.555555555599998
361,25.4285714286
116,25.4054054054
662,25.1351351351
617,25.1351351351
42,24.5454545455
435,24.444444444400002
363,24.375
602,24.324324324299997
371,24.2424242424
673,24.0540540541
379,23.947368421100002
280,23.947368421100002
181,23.8888888889
8,23.8888888889
541,23.714285714299997
2,23.6111111111
345,23.4210526316
712,23.4210526316
447,23.3333333333
312,23.243243243200002
859,23.1578947368
695,23.1578947368
687,22.894736842100002
883,22.7272727273
927,22.702702702699998
692,22.6923076923
7,22.592592592600003
106,22.5806451613
593,22.5
703,22.5
939,22.368421052600002
265,22.368421052600002
722,22.368421052600002
398,22.258064516100003
562,22.2222222222
656,22.2
395,22.162162162199998
565,22.1428571429
33,21.8421052632
111,21.8367346939
155,21.764705882399998
640,21.7391304348
729,21.7307692308
360,21.6666666667
169,21.6326530612
580,21.6216216216
906,21.5789473684
685,21.5384615385
5,21.4583333333
128,21.388888888900002
507,21.363636363599998
13,21.3043478261
37,21.2820512821
392,21.2244897959
893,21.132075471700002
916,21.111111111099998
774,21.0810810811
586,21.0526315789
41,21.0526315789
608,21.0204081633
877,20.9677419355
38,20.9615384615
231,20.9433962264
799,20.9090909091
258,20.8333333333
771,20.8108108108
353,20.7894736842
118,20.7894736842
836,20.7547169811
587,20.7547169811
855,20.588235294100002
740,20.5263157895
283,20.5263157895
130,20.5128205128
837,20.3225806452
362,20.2631578947
752,20.256410256400002
235,20.243902439
807,20.238095238099998
318,20.2040816327
197,20.1923076923
191,20.1886792453
621,20.0
117,20.0
328,20.0
800,20.0
499,19.8039215686
208,19.75
583,19.7368421053
784,19.6875
783,19.5833333333
780,19.5454545455
255,19.5238095238
623,19.512195122
113,19.4871794872
522,19.4594594595
295,19.411764705899998
803,19.411764705899998
211,19.3181818182
183,19.2857142857
285,19.2682926829
249,19.2307692308
350,19.0566037736
816,19.0566037736
354,18.888888888900002
84,18.863636363599998
572,18.7804878049
18,18.6956521739
909,18.6666666667
675,18.6666666667
874,18.6538461538
709,18.2608695652
221,18.108108108099998
720,17.380952381
115,16.9491525424
263,16.7307692308
471,16.6666666667
399,16.6666666667
465,16.315789473699997
352,16.2068965517
481,16.0344827586
309,15.9322033898
616,15.909090909100001
256,15.862068965499999
248,15.862068965499999
260,15.7407407407
199,15.7407407407
658,15.6896551724
189,15.593220339
649,15.5769230769
739,15.5555555556
912,15.1785714286
805,15.084745762699999
853,15.084745762699999
279,14.8076923077
327,14.745762711900001
777,14.6551724138
561,14.5454545455
439,14.528301886800001
99,14.4642857143
613,14.4444444444
336,14.406779661
143,14.3859649123
333,14.3636363636
417,14.3103448276
506,14.107142857100001
119,14.107142857100001
422,14.0677966102
576,13.7931034483
852,13.7931034483
755,12.9310344828
