,fifty
782,50.0
678,50.0
503,50.0
468,50.0
467,50.0
745,49.0
338,49.0
251,49.0
437,48.75
318,48.75
650,48.75
835,48.75
741,48.75
525,48.75
4,48.75
722,48.571428571400006
297,47.8571428571
394,47.6923076923
841,47.5
216,47.5
409,47.5
943,47.2727272727
920,47.1428571429
462,47.0
299,47.0
677,46.6666666667
364,46.6666666667
811,46.6666666667
87,46.6666666667
131,46.6666666667
254,46.428571428599994
783,46.428571428599994
379,46.363636363599994
285,46.363636363599994
796,46.25
353,46.25
307,46.25
459,46.25
198,46.1538461538
351,46.0
544,46.0
369,45.714285714300004
194,45.714285714300004
916,45.714285714300004
878,45.5555555556
76,45.5555555556
119,45.5555555556
597,45.5555555556
417,45.2941176471
520,45.0
885,45.0
372,45.0
347,45.0
116,45.0
845,45.0
703,45.0
692,45.0
212,44.6666666667
751,44.6153846154
661,44.5454545455
393,44.4444444444
744,44.285714285699996
660,44.285714285699996
446,44.1666666667
83,44.1666666667
203,44.1666666667
79,44.0
10,44.0
531,44.0
396,43.8461538462
458,43.8461538462
625,43.75
196,43.75
422,43.75
532,43.636363636400006
935,43.636363636400006
332,43.636363636400006
99,43.636363636400006
484,43.5294117647
66,43.5294117647
897,43.3333333333
638,43.125
894,43.076923076899995
526,43.076923076899995
818,43.0
561,42.7272727273
591,42.7272727273
501,42.6666666667
151,42.5
553,42.5
453,42.5
760,42.1428571429
65,41.9047619048
193,41.875
305,41.8181818182
765,41.8181818182
274,41.8181818182
784,41.6666666667
939,41.25
865,41.25
534,41.176470588200004
218,41.1111111111
200,40.9523809524
411,40.9090909091
485,40.9090909091
573,40.9090909091
134,40.7142857143
858,40.0
510,40.0
497,40.0
114,40.0
557,40.0
428,40.0
900,40.0
355,40.0
750,40.0
47,40.0
152,39.375
449,39.2307692308
98,39.2307692308
189,39.1666666667
536,39.1666666667
75,39.0909090909
704,38.5
175,38.3333333333
570,38.2352941176
910,36.6666666667
61,36.0
383,35.4545454545
