,fifty
401,48.181818181800004
392,48.181818181800004
344,48.0
714,47.7272727273
184,47.61904761899999
652,47.391304347799995
666,46.9565217391
137,46.6666666667
113,46.363636363599994
896,46.1904761905
82,46.1904761905
814,46.0869565217
558,45.9090909091
570,45.8333333333
791,45.714285714300004
862,45.714285714300004
877,45.714285714300004
91,45.714285714300004
320,45.625
695,45.6
845,45.5
821,45.4545454545
441,45.4545454545
919,45.4545454545
686,45.4545454545
734,45.2380952381
199,45.2173913043
433,45.2
60,45.0
369,45.0
840,44.8387096774
167,44.827586206899994
528,44.827586206899994
794,44.7619047619
355,44.7619047619
753,44.7619047619
21,44.7368421053
447,44.5833333333
342,44.5
824,44.5
133,44.4827586207
85,44.411764705900005
14,44.3243243243
140,44.285714285699996
921,44.285714285699996
459,44.285714285699996
609,44.210526315799996
256,44.1666666667
945,44.1379310345
214,44.0
911,44.0
105,43.888888888900006
651,43.870967741899996
683,43.870967741899996
597,43.6
885,43.548387096800006
303,43.548387096800006
457,43.5294117647
752,43.5135135135
61,43.5
934,43.4782608696
502,43.4782608696
143,43.4782608696
527,43.428571428599994
539,43.428571428599994
694,43.3333333333
718,43.3333333333
604,43.3333333333
657,43.2258064516
618,43.181818181800004
160,43.181818181800004
486,43.1578947368
870,43.076923076899995
371,43.076923076899995
431,43.0555555556
498,43.0555555556
326,43.0
630,43.0
689,42.962962963
111,42.9411764706
639,42.9411764706
693,42.903225806500004
122,42.8571428571
19,42.8571428571
129,42.8571428571
867,42.7272727273
823,42.7272727273
843,42.7272727273
240,42.7272727273
390,42.6470588235
442,42.631578947399994
263,42.6086956522
796,42.6086956522
617,42.5925925926
707,42.5806451613
168,42.5714285714
179,42.5
348,42.5
483,42.4
848,42.368421052600006
35,42.3529411765
42,42.2580645161
73,42.2580645161
59,42.0689655172
32,42.0689655172
89,42.0
462,42.0
117,41.9444444444
72,41.7391304348
0,41.6
445,41.5384615385
460,41.5151515152
132,41.5
454,41.2903225806
362,41.25
899,41.2
27,41.1428571429
172,41.1111111111
109,41.0714285714
481,40.9523809524
512,40.9090909091
365,40.9090909091
266,40.8823529412
329,40.869565217399995
905,40.8333333333
736,40.6666666667
280,40.6451612903
638,40.625
232,40.6060606061
654,40.540540540500004
563,40.5
892,40.4545454545
156,40.3571428571
267,40.3448275862
422,40.3448275862
204,40.3333333333
537,40.2941176471
612,40.277777777800004
591,40.256410256399995
935,40.256410256399995
305,40.25
839,40.0
809,40.0
568,40.0
233,40.0
197,40.0
956,39.7297297297
598,39.6774193548
403,39.6551724138
671,39.6428571429
724,39.3548387097
159,39.3548387097
54,39.2857142857
755,39.0625
290,39.0
932,38.75
25,38.6363636364
253,38.275862069
62,38.275862069
472,38.1818181818
807,38.0
628,35.9459459459
