,fifty
199,50.0
905,50.0
633,48.75
900,48.6666666667
539,48.3333333333
660,48.181818181800004
485,48.125
636,48.125
880,47.6923076923
460,47.647058823500004
517,47.61904761899999
914,47.5
601,47.5
609,47.5
671,47.368421052600006
128,47.3333333333
255,47.3333333333
151,47.3333333333
32,47.1428571429
499,46.9565217391
883,46.9565217391
443,46.875
849,46.6666666667
679,46.6666666667
823,46.6666666667
201,46.5217391304
613,46.5217391304
111,46.4705882353
246,46.4
82,46.3157894737
371,46.2962962963
446,46.25
851,46.1538461538
285,46.0869565217
23,46.0
24,46.0
286,45.8823529412
37,45.8823529412
258,45.8823529412
566,45.8333333333
727,45.625
922,45.625
877,45.625
827,45.625
734,45.625
730,45.625
580,45.5
567,45.4166666667
528,45.4166666667
297,45.3846153846
667,45.3571428571
700,45.2941176471
206,45.2941176471
127,45.2941176471
632,45.2941176471
829,45.2941176471
63,45.2941176471
696,45.2941176471
38,45.2380952381
833,45.185185185200005
605,45.0
899,45.0
643,45.0
211,44.827586206899994
370,44.827586206899994
718,44.814814814799995
311,44.814814814799995
25,44.8
402,44.8
582,44.7826086957
7,44.7826086957
332,44.7826086957
12,44.7619047619
589,44.7368421053
137,44.7058823529
283,44.7058823529
174,44.6666666667
72,44.6666666667
74,44.51612903229999
232,44.4444444444
565,44.4444444444
657,44.4
243,44.375
611,44.375
569,44.375
773,44.285714285699996
902,44.285714285699996
59,44.285714285699996
118,44.2307692308
348,44.1666666667
884,44.1666666667
430,44.0909090909
625,44.0740740741
66,44.0
543,44.0
642,44.0
265,43.928571428599994
260,43.9130434783
335,43.888888888900006
453,43.8461538462
818,43.75
757,43.7037037037
405,43.6842105263
685,43.6842105263
316,43.6842105263
881,43.6
536,43.571428571400006
313,43.571428571400006
65,43.5294117647
547,43.4615384615
400,43.4615384615
709,43.4615384615
212,43.3333333333
323,43.3333333333
329,43.3333333333
889,43.3333333333
119,43.3333333333
229,43.3333333333
542,43.3333333333
69,43.3333333333
768,43.3333333333
549,43.2
717,43.2
825,43.2
80,43.125
554,43.1034482759
369,43.076923076899995
220,43.076923076899995
806,43.076923076899995
541,43.076923076899995
740,43.0434782609
448,43.0434782609
819,42.9166666667
450,42.9166666667
233,42.8571428571
442,42.777777777800004
911,42.777777777800004
11,42.777777777800004
923,42.777777777800004
349,42.777777777800004
500,42.758620689699995
935,42.7272727273
759,42.6923076923
781,42.6923076923
720,42.631578947399994
231,42.631578947399994
587,42.5
550,42.5
136,42.5
139,42.5
813,42.380952381
0,42.3076923077
712,42.2727272727
158,42.1739130435
630,42.1052631579
635,42.0833333333
842,42.0833333333
216,42.0833333333
723,41.9230769231
381,41.875
544,41.8518518519
195,41.7857142857
792,41.7647058824
579,41.6666666667
39,41.6666666667
619,41.6666666667
504,41.6666666667
614,41.6
912,41.5789473684
15,41.5789473684
321,41.5384615385
848,41.5384615385
555,41.3793103448
46,41.3793103448
88,41.3636363636
148,41.3636363636
61,41.3043478261
726,41.25
762,41.176470588200004
315,41.176470588200004
356,41.176470588200004
325,41.1111111111
164,41.0714285714
921,41.0
271,40.9090909091
19,40.869565217399995
469,40.8333333333
654,40.8
467,40.8
270,40.8
419,40.740740740700005
510,40.6666666667
203,40.588235294099995
351,40.588235294099995
454,40.5555555556
626,40.5555555556
920,40.4347826087
112,40.4166666667
141,40.4
338,40.3846153846
574,40.3571428571
250,40.0
887,40.0
886,40.0
482,40.0
520,40.0
733,40.0
637,40.0
750,39.6666666667
665,39.629629629600004
767,39.629629629600004
429,39.5833333333
624,39.4444444444
444,39.3333333333
280,39.2
62,39.2
858,39.1666666667
256,39.1666666667
205,39.130434782600005
704,39.0
204,38.8461538462
651,38.8461538462
193,38.4
301,38.3333333333
491,38.2608695652
741,38.2352941176
398,38.0
938,37.777777777800004
691,37.6923076923
238,37.5
831,37.3076923077
677,37.222222222199996
662,37.0833333333
573,36.8181818182
895,36.5
594,36.0869565217
327,35.4166666667
714,34.6428571429
