,sixty
755,50.0
907,50.0
180,48.75
467,48.3333333333
517,48.181818181800004
171,47.5
650,47.5
835,47.5
4,47.5
741,47.5
437,47.5
677,46.6666666667
591,46.363636363599994
525,46.25
864,45.714285714300004
811,45.0
318,45.0
459,45.0
754,45.0
266,44.6153846154
712,44.285714285699996
51,44.1666666667
901,44.0
10,44.0
88,43.75
109,43.75
728,43.75
568,43.3333333333
212,43.3333333333
131,43.3333333333
582,43.3333333333
7,43.125
733,43.076923076899995
442,43.0
803,42.8571428571
101,42.8571428571
583,42.8571428571
826,42.7272727273
332,42.7272727273
935,42.7272727273
151,42.5
256,42.5
414,42.5
119,42.222222222199996
269,42.222222222199996
920,42.1428571429
818,42.0
544,42.0
943,41.8181818182
379,41.8181818182
561,41.8181818182
417,41.7647058824
66,41.7647058824
845,41.6666666667
83,41.6666666667
396,41.5384615385
155,41.4285714286
369,41.4285714286
353,41.25
372,41.25
0,41.1111111111
108,41.1111111111
351,41.0
859,41.0
545,40.9090909091
661,40.9090909091
134,40.7142857143
428,40.7142857143
57,40.7142857143
550,40.7142857143
625,40.625
484,40.588235294099995
637,40.0
196,40.0
878,40.0
939,40.0
76,40.0
744,40.0
422,40.0
461,40.0
421,40.0
462,40.0
347,40.0
660,39.2857142857
526,39.2307692308
894,39.2307692308
453,39.1666666667
531,39.0
218,38.8888888889
534,38.823529411799996
796,38.75
863,38.3333333333
858,38.3333333333
75,38.1818181818
305,38.1818181818
411,38.1818181818
900,38.1818181818
485,38.1818181818
193,38.125
865,38.125
65,38.0952380952
885,38.0
128,38.0
784,37.5
638,37.5
203,37.5
520,37.5
536,37.5
189,37.5
573,37.2727272727
510,37.0588235294
750,37.0588235294
79,37.0
98,36.9230769231
152,36.875
175,36.6666666667
765,36.3636363636
497,36.1538461538
114,36.1538461538
704,36.0
557,35.4545454545
274,35.4545454545
355,35.2941176471
570,35.2941176471
47,34.7058823529
61,33.0
910,32.0
383,31.818181818200003
449,30.7692307692
