,nine
860,32.7272727273
919,32.7272727273
389,32.3076923077
871,31.1764705882
539,30.8333333333
601,30.8333333333
587,30.0
381,29.375
611,29.375
488,28.947368421100002
127,28.8235294118
352,28.6666666667
536,28.5714285714
147,28.235294117600002
660,28.181818181799997
818,28.125
72,28.0
255,28.0
230,27.894736842100002
685,27.894736842100002
793,27.7777777778
626,27.7777777778
880,27.6923076923
137,27.0588235294
569,26.875
24,26.6666666667
792,26.470588235300003
356,26.470588235300003
923,25.555555555599998
303,25.294117647100002
351,25.294117647100002
63,25.294117647100002
405,25.263157894699997
813,25.238095238099998
605,25.0
443,25.0
827,25.0
454,25.0
924,24.736842105300003
512,24.736842105300003
258,24.705882352899998
325,24.444444444400002
82,24.2105263158
15,24.2105263158
293,24.2105263158
315,24.1176470588
762,24.1176470588
286,24.1176470588
174,24.0
741,23.529411764699997
65,23.529411764699997
103,23.5
350,23.3333333333
349,23.3333333333
515,23.3333333333
643,23.125
877,23.125
704,23.0
460,22.9411764706
696,22.9411764706
11,22.7777777778
442,22.7777777778
23,22.6666666667
899,22.5
153,22.5
16,22.5
506,22.5
688,22.5
376,22.380952381
700,22.3529411765
196,22.3529411765
572,22.3529411765
624,22.2222222222
911,22.2222222222
846,22.0833333333
642,22.0
682,22.0
734,21.875
632,21.764705882399998
413,21.6666666667
677,21.6666666667
895,21.5
517,21.428571428599998
679,21.3333333333
807,21.3043478261
730,21.25
922,21.25
37,21.1764705882
453,20.7692307692
311,20.740740740699998
746,20.740740740699998
446,20.625
912,20.5263157895
12,20.4761904762
566,20.4166666667
739,20.3703703704
69,20.3333333333
402,20.0
633,20.0
794,20.0
902,20.0
542,20.0
32,20.0
211,20.0
265,20.0
243,20.0
233,20.0
71,20.0
672,19.6774193548
500,19.655172413800003
132,19.6296296296
718,19.6296296296
335,19.444444444400002
283,19.411764705899998
914,19.375
554,19.3103448276
574,19.2857142857
851,19.2307692308
246,19.2
549,19.2
278,19.2
635,19.1666666667
313,18.928571428599998
229,18.888888888900002
299,18.8461538462
547,18.8461538462
111,18.8235294118
921,18.6666666667
46,18.6206896552
555,18.6206896552
164,18.571428571400002
736,18.5185185185
833,18.5185185185
630,18.421052631600002
543,18.4
614,18.4
510,18.3333333333
579,18.3333333333
41,18.0769230769
225,18.0
59,17.8571428571
91,17.6923076923
321,17.6923076923
913,17.6923076923
444,17.6666666667
206,17.6470588235
733,17.6
25,17.6
139,17.5
323,17.4074074074
799,17.3076923077
70,17.2
681,16.9565217391
430,16.8181818182
195,16.7857142857
750,16.6666666667
158,16.5217391304
607,16.5217391304
482,16.4
582,16.0869565217
260,16.0869565217
7,16.0869565217
935,15.909090909100001
884,15.833333333299999
504,15.833333333299999
768,15.833333333299999
38,15.7142857143
329,15.7142857143
201,15.652173913
450,15.416666666700001
889,15.416666666700001
252,15.416666666700001
39,15.416666666700001
116,15.217391304300001
306,15.217391304300001
613,15.217391304300001
881,15.2
886,15.0
580,15.0
550,15.0
88,15.0
619,15.0
825,14.8
887,14.8
161,14.782608695699999
920,14.782608695699999
238,14.583333333299999
712,14.5454545455
654,14.4
657,14.4
250,14.347826087
205,14.347826087
651,14.2307692308
112,14.166666666700001
726,14.166666666700001
119,14.166666666700001
544,14.0740740741
767,14.0740740741
717,14.0
66,14.0
491,13.913043478299999
190,13.913043478299999
19,13.913043478299999
740,13.913043478299999
220,13.846153846199998
858,13.75
256,13.75
842,13.75
148,13.6363636364
236,13.6363636364
280,13.6
193,13.6
270,13.6
448,13.4782608696
61,13.4782608696
831,13.461538461500002
204,13.461538461500002
469,13.333333333299999
723,13.0769230769
781,13.0769230769
297,13.0769230769
141,12.8
62,12.8
573,12.7272727273
594,12.6086956522
136,12.5
216,12.5
848,12.3076923077
338,12.3076923077
327,12.083333333299999
301,12.083333333299999
637,11.8181818182
652,11.538461538499998
938,11.481481481500001
419,11.481481481500001
665,11.481481481500001
714,11.0714285714
662,10.833333333299999
