,sixty
919,49.0909090909
660,48.181818181800004
601,47.5
539,47.5
128,47.3333333333
682,47.3333333333
880,46.923076923100005
460,46.4705882353
860,46.363636363599994
914,46.25
636,46.25
433,46.0
900,46.0
823,45.3333333333
517,45.2380952381
376,45.2380952381
877,45.0
633,45.0
196,44.7058823529
255,44.6666666667
24,44.6666666667
389,44.6153846154
724,44.4444444444
611,44.375
569,44.375
1,44.285714285699996
787,44.210526315799996
413,44.1666666667
700,44.1176470588
303,44.1176470588
679,44.0
543,44.0
521,44.0
307,43.6842105263
246,43.6
402,43.6
111,43.5294117647
826,43.5294117647
127,43.5294117647
72,43.3333333333
564,43.214285714300004
71,43.2
685,43.1578947368
436,43.1578947368
734,43.125
899,43.125
818,43.125
206,42.9411764706
286,42.9411764706
283,42.9411764706
852,42.9166666667
546,42.9166666667
566,42.9166666667
245,42.8571428571
59,42.8571428571
335,42.777777777800004
454,42.777777777800004
502,42.6666666667
174,42.6666666667
582,42.6086956522
461,42.5925925926
643,42.5
869,42.5
827,42.5
730,42.5
356,42.3529411765
935,42.2727272727
232,42.222222222199996
757,42.222222222199996
607,42.1739130435
23,42.0
69,42.0
873,41.9230769231
547,41.9230769231
0,41.9230769231
233,41.9047619048
12,41.9047619048
605,41.875
443,41.875
446,41.875
207,41.8518518519
63,41.7647058824
681,41.7391304348
306,41.7391304348
349,41.6666666667
287,41.6129032258
25,41.6
82,41.5789473684
229,41.4814814815
536,41.4285714286
211,41.3793103448
243,41.25
80,41.25
381,41.25
66,41.2
137,41.176470588200004
542,41.1111111111
565,41.1111111111
630,41.0526315789
921,41.0
448,40.869565217399995
740,40.869565217399995
881,40.8
549,40.8
642,40.8
359,40.7692307692
541,40.7692307692
299,40.7692307692
323,40.740740740700005
212,40.740740740700005
794,40.689655172399995
922,40.625
37,40.588235294099995
258,40.588235294099995
924,40.526315789499996
580,40.5
38,40.476190476199996
201,40.4347826087
158,40.4347826087
118,40.3846153846
739,40.370370370399996
510,40.3333333333
923,40.0
613,40.0
11,40.0
587,40.0
626,40.0
632,40.0
46,40.0
792,40.0
430,40.0
321,40.0
718,39.629629629600004
709,39.6153846154
657,39.6
619,39.5833333333
888,39.5833333333
813,39.523809523800004
32,39.523809523800004
405,39.473684210500004
442,39.4444444444
500,39.310344827600005
87,39.2307692308
469,39.1666666667
7,39.130434782600005
920,39.130434782600005
179,38.9473684211
293,38.9473684211
911,38.8888888889
848,38.8461538462
614,38.8
889,38.75
712,38.6363636364
555,38.6206896552
661,38.6206896552
164,38.5714285714
833,38.5185185185
704,38.5
691,38.4615384615
297,38.4615384615
781,38.4615384615
912,38.4210526316
750,38.3333333333
624,38.3333333333
768,38.3333333333
504,38.3333333333
119,38.3333333333
161,38.2608695652
315,38.2352941176
65,38.2352941176
741,38.2352941176
195,38.2142857143
220,38.0769230769
723,38.0769230769
654,38.0
141,38.0
270,38.0
62,38.0
884,37.9166666667
726,37.9166666667
842,37.9166666667
635,37.9166666667
256,37.9166666667
492,37.8947368421
670,37.8947368421
313,37.8571428571
139,37.8571428571
61,37.8260869565
88,37.7272727273
338,37.6923076923
696,37.6470588235
351,37.6470588235
70,37.6
887,37.6
216,37.5
450,37.5
204,37.3076923077
329,37.1428571429
886,37.0833333333
806,36.9230769231
482,36.8
733,36.8
574,36.7857142857
444,36.6666666667
112,36.6666666667
665,36.6666666667
677,36.6666666667
550,36.6666666667
544,36.6666666667
250,36.5217391304
717,36.4
786,36.3636363636
301,36.25
260,36.0869565217
419,35.9259259259
767,35.9259259259
148,35.9090909091
136,35.8333333333
651,35.7692307692
831,35.7692307692
19,35.652173913
193,35.6
280,35.6
236,35.4545454545
39,35.4166666667
662,35.0
895,35.0
858,34.5833333333
238,34.5833333333
491,34.347826087
271,34.0909090909
938,34.0740740741
594,33.9130434783
573,33.1818181818
637,33.1818181818
398,32.8
327,32.5
714,30.714285714299997
