,ten
246,50.0
243,50.0
191,50.0
721,50.0
247,50.0
727,50.0
82,50.0
734,50.0
137,50.0
517,50.0
196,50.0
431,50.0
199,50.0
176,50.0
206,50.0
402,50.0
170,50.0
399,50.0
710,50.0
460,50.0
506,50.0
636,50.0
643,50.0
660,50.0
628,50.0
111,50.0
174,50.0
672,50.0
679,50.0
682,50.0
601,50.0
186,50.0
700,50.0
827,50.0
633,50.0
914,50.0
877,50.0
34,50.0
521,50.0
880,50.0
902,50.0
359,50.0
25,50.0
24,50.0
23,50.0
899,50.0
11,50.0
9,50.0
851,50.0
283,50.0
539,50.0
692,49.6666666667
921,49.6666666667
28,49.6551724138
833,49.629629629600004
718,49.629629629600004
736,49.629629629600004
330,49.6153846154
881,49.6
499,49.5652173913
613,49.5652173913
158,49.5652173913
740,49.5652173913
681,49.5652173913
940,49.5454545455
233,49.523809523800004
12,49.523809523800004
580,49.5
6,49.473684210500004
685,49.473684210500004
454,49.4444444444
351,49.411764705900005
303,49.411764705900005
286,49.411764705900005
446,49.375
507,49.3333333333
483,49.3333333333
255,49.3333333333
554,49.310344827600005
211,49.310344827600005
46,49.310344827600005
16,49.285714285699996
323,49.2592592593
321,49.2307692308
709,49.2307692308
338,49.2307692308
66,49.2
889,49.1666666667
566,49.1666666667
7,49.130434782600005
935,49.0909090909
570,49.0909090909
32,49.0476190476
329,49.0476190476
923,48.888888888900006
625,48.888888888900006
297,48.8461538462
369,48.8461538462
0,48.8461538462
79,48.8461538462
63,48.8235294118
258,48.8235294118
696,48.8235294118
614,48.8
657,48.8
922,48.75
726,48.75
730,48.75
443,48.75
550,48.75
794,48.6206896552
500,48.6206896552
813,48.571428571400006
704,48.5
939,48.5
547,48.4615384615
422,48.4210526316
405,48.4210526316
670,48.4210526316
179,48.4210526316
492,48.4210526316
231,48.4210526316
293,48.4210526316
642,48.4
543,48.4
768,48.3333333333
349,48.3333333333
572,48.2352941176
315,48.2352941176
127,48.2352941176
65,48.2352941176
826,48.2352941176
356,48.2352941176
212,48.148148148100006
155,48.125
818,48.125
569,48.125
848,48.076923076899995
193,48.0
717,48.0
579,48.0
444,48.0
510,48.0
498,48.0
72,48.0
119,47.9166666667
216,47.9166666667
112,47.9166666667
536,47.8571428571
59,47.8571428571
232,47.7777777778
624,47.7777777778
58,47.7777777778
911,47.7777777778
698,47.7272727273
430,47.7272727273
88,47.7272727273
873,47.6923076923
723,47.6923076923
71,47.6
858,47.5
39,47.5
469,47.5
884,47.5
520,47.5
238,47.5
450,47.5
195,47.5
544,47.4074074074
419,47.4074074074
61,47.391304347799995
220,47.3076923077
541,47.3076923077
394,47.3076923077
806,47.3076923077
712,47.2727272727
271,47.2727272727
48,47.2222222222
565,47.2222222222
626,47.2222222222
542,47.2222222222
442,47.2222222222
549,47.2
398,47.2
141,47.2
654,47.2
574,47.1428571429
139,47.1428571429
164,47.1428571429
619,47.0833333333
136,47.0833333333
504,47.0833333333
37,47.058823529399994
665,47.037037037
750,47.0
895,47.0
19,46.9565217391
920,46.9565217391
299,46.923076923100005
381,46.875
605,46.875
148,46.818181818199996
236,46.818181818199996
767,46.6666666667
888,46.6666666667
301,46.6666666667
256,46.6666666667
204,46.5384615385
781,46.5384615385
448,46.5217391304
792,46.4705882353
741,46.4705882353
887,46.4
637,46.363636363599994
587,46.25
651,46.1538461538
280,46.0
62,46.0
630,45.789473684200004
691,45.7692307692
270,45.6
917,45.6
677,45.5555555556
842,45.4166666667
548,45.2380952381
250,45.2173913043
594,45.2173913043
491,45.2173913043
938,45.185185185200005
778,45.0
831,45.0
714,44.6428571429
662,44.5833333333
635,44.5833333333
482,44.4
886,44.1666666667
573,44.0909090909
327,42.9166666667
