,sixty
42,43.636363636400006
92,42.2857142857
695,42.1052631579
283,42.1052631579
365,42.0
788,41.8918918919
167,41.842105263200004
456,41.8181818182
860,41.8
212,41.6666666667
245,41.4634146341
451,41.3636363636
280,41.3157894737
906,41.3157894737
363,41.25
668,41.1111111111
522,41.0810810811
843,41.0526315789
100,40.9803921569
64,40.9090909091
11,40.8571428571
703,40.8333333333
291,40.8163265306
382,40.8108108108
297,40.7692307692
565,40.7142857143
735,40.6666666667
587,40.5660377358
722,40.526315789499996
583,40.526315789499996
620,40.512820512800005
384,40.3846153846
593,40.277777777800004
33,40.2631578947
249,40.256410256399995
572,40.0
314,40.0
939,40.0
111,40.0
771,40.0
312,40.0
350,40.0
855,40.0
516,40.0
232,40.0
706,40.0
596,39.8305084746
692,39.8076923077
392,39.7959183673
519,39.756097561
752,39.743589743600005
37,39.743589743600005
787,39.7368421053
740,39.7368421053
833,39.722222222199996
181,39.722222222199996
191,39.6226415094
204,39.5652173913
807,39.523809523800004
566,39.473684210500004
155,39.411764705900005
318,39.387755102
863,39.375
481,39.310344827600005
757,39.310344827600005
773,39.298245614
530,39.2307692308
687,39.210526315799996
374,39.210526315799996
617,39.1891891892
673,39.1891891892
377,39.1111111111
544,39.0476190476
163,39.0243902439
295,39.0196078431
933,38.9795918367
113,38.9743589744
580,38.9189189189
909,38.8888888889
783,38.75
18,38.6956521739
348,38.6842105263
820,38.6486486486
66,38.5964912281
447,38.4848484848
197,38.4615384615
118,38.157894736799996
7,38.1481481481
805,38.1355932203
874,38.0769230769
562,38.0555555556
285,38.0487804878
780,37.9545454545
685,37.9487179487
465,37.8947368421
345,37.8947368421
883,37.878787878800004
133,37.8571428571
927,37.8378378378
0,37.8378378378
221,37.8378378378
244,37.8048780488
106,37.7419354839
837,37.7419354839
893,37.735849056599996
538,37.7272727273
258,37.7083333333
41,37.631578947399994
67,37.619047619
850,37.380952381
268,37.358490566
616,37.2727272727
499,37.2549019608
208,37.25
823,37.241379310300005
770,37.241379310300005
882,37.1875
910,37.1698113208
816,37.1698113208
398,37.096774193499996
629,36.8965517241
354,36.8888888889
916,36.8518518519
712,36.842105263200004
265,36.842105263200004
349,36.8292682927
836,36.7924528302
799,36.6666666667
211,36.5909090909
561,36.5454545455
199,36.4814814815
309,36.440677966100004
371,36.3636363636
541,36.2857142857
471,36.1111111111
894,36.1111111111
784,35.9375
755,35.8620689655
704,35.8490566038
279,35.7692307692
803,35.6862745098
912,35.5357142857
260,35.1851851852
99,35.0
422,34.9152542373
529,34.7457627119
852,34.482758620700004
119,34.4642857143
506,34.4642857143
336,34.406779661
576,34.1379310345
739,33.7037037037
143,33.6842105263
439,33.5849056604
417,33.4482758621
853,32.881355932199995
