ten,twen,threefive,fifty,sixty,sevenfive,nine
48.8461538462,48.8461538462,46.1538461538,42.3076923077,41.9230769231,35.0,16.9230769231
49.5238095238,49.0476190476,47.1428571429,45.2380952381,44.2857142857,35.2380952381,19.0476190476
43.125,43.125,43.75,40.625,39.375,33.125,19.375
49.6296296296,49.2592592593,45.9259259259,45.1851851852,37.4074074074,34.0740740741,19.2592592593
43.3333333333,43.3333333333,43.3333333333,39.5833333333,38.3333333333,31.25,17.0833333333
45.5555555556,45.5555555556,43.8888888889,41.1111111111,38.3333333333,36.1111111111,19.4444444444
49.4736842105,50.0,47.3684210526,43.6842105263,41.5789473684,36.8421052632,24.2105263158
49.1304347826,46.5217391304,45.652173913,44.7826086957,39.1304347826,29.5652173913,16.0869565217
45.0,43.75,41.875,39.375,37.5,33.125,19.375
50.0,49.1304347826,46.5217391304,45.2173913043,42.6086956522,36.9565217391,20.8695652174
47.3684210526,46.3157894737,44.7368421053,40.0,41.5789473684,35.7894736842,23.6842105263
50.0,48.3333333333,46.6666666667,42.7777777778,40.0,36.1111111111,22.7777777778
49.5238095238,49.5238095238,49.0476190476,44.7619047619,41.9047619048,35.2380952381,20.4761904762
47.8571428571,45.7142857143,43.5714285714,39.2857142857,39.6428571429,31.0714285714,20.3571428571
47.7777777778,45.9259259259,43.7037037037,41.4814814815,38.1481481481,33.3333333333,17.7777777778
46.3157894737,46.8421052632,43.6842105263,41.5789473684,36.8421052632,32.1052631579,24.2105263158
49.2857142857,47.1428571429,45.3571428571,42.8571428571,38.9285714286,32.8571428571,22.5
45.2941176471,44.7058823529,44.1176470588,43.5294117647,40.5882352941,37.6470588235,31.1764705882
47.5862068966,45.8620689655,43.7931034483,41.0344827586,37.5862068966,32.4137931034,17.9310344828
46.9565217391,46.9565217391,43.0434782609,40.8695652174,35.652173913,28.6956521739,13.9130434783
46.4,46.0,43.6,38.8,38.4,30.8,15.6
47.9310344828,48.275862069,46.8965517241,41.0344827586,36.5517241379,32.7586206897,18.9655172414
44.8,44.4,42.0,38.4,35.2,30.4,19.2
50.0,50.0,48.0,46.0,42.0,39.3333333333,22.6666666667
50.0,49.3333333333,47.3333333333,46.0,44.6666666667,41.3333333333,26.6666666667
50.0,48.8,47.2,44.8,41.6,33.6,17.6
47.4193548387,46.7741935484,43.8709677419,41.935483871,39.6774193548,30.3225806452,15.4838709677
44.6666666667,44.0,42.6666666667,42.0,39.3333333333,33.3333333333,21.3333333333
49.6551724138,49.3103448276,47.9310344828,42.4137931034,41.0344827586,35.1724137931,18.6206896552
49.6428571429,47.1428571429,45.0,39.2857142857,40.3571428571,31.0714285714,18.5714285714
