ten,twen,threefive,fifty,sixty,sevenfive,nine
46.3888888889,45.0,41.1111111111,38.6111111111,35.0,30.2777777778,20.8333333333
48.0,46.6666666667,44.6666666667,41.3333333333,40.0,35.6666666667,23.0
48.064516129,46.4516129032,45.1612903226,43.5483870968,41.2903225806,32.5806451613,21.935483871
46.9444444444,45.8333333333,43.3333333333,39.7222222222,39.1666666667,33.6111111111,20.2777777778
46.8181818182,45.4545454545,41.8181818182,39.3181818182,39.3181818182,33.4090909091,17.9545454545
46.5217391304,46.7391304348,44.1304347826,42.3913043478,38.6956521739,31.9565217391,16.9565217391
49.1428571429,46.8571428571,46.0,41.1428571429,39.1428571429,33.7142857143,21.4285714286
49.0322580645,47.7419354839,46.4516129032,43.5483870968,40.3225806452,37.7419354839,23.2258064516
46.2162162162,44.8648648649,42.972972973,39.4594594595,37.027027027,30.5405405405,18.6486486486
45.0,44.6,42.4,37.4,35.4,28.6,15.2
47.0454545455,46.8181818182,43.8636363636,42.9545454545,37.9545454545,33.1818181818,21.8181818182
44.5945945946,44.3243243243,42.7027027027,39.4594594595,37.027027027,32.7027027027,20.2702702703
49.0322580645,48.064516129,46.1290322581,43.2258064516,40.9677419355,36.1290322581,20.3225806452
48.2222222222,47.3333333333,44.0,42.0,39.7777777778,34.4444444444,20.4444444444
48.2142857143,46.4285714286,46.7857142857,43.5714285714,40.3571428571,36.0714285714,25.0
45.8823529412,45.2941176471,44.1176470588,41.1764705882,39.7058823529,32.3529411765,22.0588235294
47.8260869565,46.9565217391,44.5652173913,42.6086956522,39.347826087,32.8260869565,20.652173913
44.4117647059,43.2352941176,43.5294117647,40.8823529412,37.6470588235,32.3529411765,22.6470588235
48.064516129,48.064516129,45.8064516129,42.2580645161,38.3870967742,35.8064516129,21.6129032258
46.0,46.0,42.5714285714,41.4285714286,38.8571428571,32.5714285714,20.2857142857
44.8,44.2,42.0,37.2,35.2,28.8,14.4
47.0588235294,46.1764705882,42.0588235294,43.2352941176,37.3529411765,32.9411764706,21.4705882353
46.75,44.75,43.5,41.25,39.0,32.5,20.5
47.3913043478,47.6086956522,45.0,43.0434782609,41.3043478261,33.6956521739,22.1739130435
43.4042553191,42.5531914894,39.5744680851,36.8085106383,35.5319148936,29.1489361702,13.829787234
45.0,45.2,42.6,36.6,37.4,28.8,14.4
47.3913043478,46.7391304348,44.1304347826,43.0434782609,39.1304347826,32.1739130435,18.4782608696
48.0555555556,46.1111111111,43.3333333333,41.1111111111,40.2777777778,33.3333333333,22.7777777778
45.2,44.4,42.2,39.8,35.6,28.8,13.8
46.3888888889,46.1111111111,44.1666666667,39.1666666667,38.0555555556,31.9444444444,21.3888888889
46.5957446809,44.8936170213,44.0425531915,40.4255319149,38.2978723404,34.2553191489,21.0638297872
45.3846153846,44.8717948718,42.5641025641,41.0256410256,38.9743589744,36.1538461538,22.8205128205
48.9655172414,47.2413793103,46.5517241379,43.4482758621,40.6896551724,36.8965517241,23.1034482759
48.2051282051,46.9230769231,44.358974359,41.7948717949,38.2051282051,30.5128205128,19.7435897436
46.9047619048,45.0,43.0952380952,41.6666666667,37.619047619,31.9047619048,20.4761904762
43.6585365854,43.6585365854,42.6829268293,40.0,39.0243902439,32.6829268293,19.0243902439
46.8181818182,45.4545454545,41.8181818182,39.3181818182,39.3181818182,33.4090909091,17.9545454545
48.064516129,48.064516129,45.8064516129,42.2580645161,38.3870967742,35.8064516129,21.6129032258
44.4444444444,44.0740740741,43.3333333333,38.5185185185,37.037037037,32.2222222222,22.5925925926
49.2682926829,48.5365853659,45.8536585366,44.1463414634,40.0,33.6585365854,23.1707317073
46.9565217391,45.8695652174,43.2608695652,41.7391304348,36.7391304348,31.3043478261,19.347826087
46.0,45.2,41.6,41.6,36.0,34.0,24.4
43.3333333333,41.6666666667,38.125,35.625,33.125,25.0,13.5416666667
48.6666666667,49.0,46.3333333333,42.6666666667,41.6666666667,33.6666666667,22.3333333333
44.7826086957,44.1304347826,40.8695652174,38.2608695652,35.0,27.8260869565,16.3043478261
42.8571428571,42.5714285714,39.7142857143,36.5714285714,35.4285714286,32.2857142857,20.2857142857
44.8571428571,44.5714285714,43.1428571429,38.0,35.4285714286,34.0,20.8571428571
46.0465116279,45.5813953488,44.4186046512,40.4651162791,38.6046511628,31.6279069767,19.3023255814
47.5,47.5,46.1111111111,44.1666666667,41.3888888889,35.5555555556,21.3888888889
46.7391304348,46.3043478261,44.347826087,42.1739130435,36.9565217391,33.9130434783,19.7826086957
48.0555555556,46.3888888889,43.0555555556,40.8333333333,38.3333333333,32.7777777778,20.8333333333
49.7435897436,48.9743589744,44.8717948718,41.5384615385,39.4871794872,35.3846153846,21.7948717949
49.1428571429,46.8571428571,46.0,41.1428571429,39.1428571429,33.7142857143,21.4285714286
47.5757575758,47.2727272727,45.1515151515,43.0303030303,39.3939393939,31.8181818182,22.4242424242
47.6666666667,46.3333333333,45.6666666667,44.0,39.3333333333,36.0,22.0
42.3529411765,42.3529411765,40.8823529412,37.6470588235,36.4705882353,31.1764705882,20.5882352941
49.0322580645,48.064516129,46.4516129032,44.8387096774,43.2258064516,37.4193548387,20.3225806452
