ten,twen,threefive,fifty,sixty,sevenfive,nine
42.7027027027,42.7027027027,41.3513513514,40.0,37.8378378378,32.7027027027,24.3243243243
45.6818181818,45.0,44.0909090909,41.5909090909,37.0454545455,28.4090909091,17.7272727273
46.1111111111,44.1666666667,43.3333333333,40.5555555556,39.4444444444,33.6111111111,23.6111111111
45.7142857143,44.8571428571,43.4285714286,41.4285714286,38.5714285714,34.8571428571,25.1428571429
47.9545454545,47.2727272727,43.6363636364,41.1363636364,35.6818181818,30.2272727273,17.5
48.5416666667,45.2083333333,45.8333333333,42.2916666667,38.9583333333,33.3333333333,21.4583333333
47.6315789474,46.5789473684,46.3157894737,42.6315789474,40.0,34.2105263158,19.4736842105
47.962962963,46.8518518519,44.8148148148,41.6666666667,38.1481481481,33.3333333333,22.5925925926
48.6111111111,46.9444444444,45.2777777778,43.0555555556,39.7222222222,36.6666666667,23.8888888889
45.4545454545,44.5454545455,42.9545454545,38.1818181818,35.0,31.1363636364,18.8636363636
44.6666666667,44.4444444444,42.2222222222,39.5555555556,36.4444444444,29.5555555556,20.6666666667
46.8571428571,44.8571428571,44.0,43.4285714286,40.8571428571,35.4285714286,21.7142857143
45.75,45.75,43.0,40.0,39.25,29.5,19.5
49.7826086957,47.6086956522,47.1739130435,41.0869565217,39.1304347826,31.7391304348,21.3043478261
48.431372549,46.862745098,44.1176470588,40.3921568627,37.2549019608,28.0392156863,14.5098039216
47.9545454545,47.9545454545,46.1363636364,42.9545454545,37.2727272727,30.9090909091,20.0
48.5714285714,46.5306122449,44.693877551,42.4489795918,38.7755102041,32.0408163265,19.7959183673
46.1111111111,45.2777777778,44.1666666667,43.8888888889,38.6111111111,33.3333333333,25.2777777778
45.8695652174,46.9565217391,42.3913043478,40.4347826087,38.6956521739,30.4347826087,18.6956521739
47.1428571429,46.0,44.2857142857,41.7142857143,38.2857142857,34.8571428571,21.7142857143
48.5416666667,47.2916666667,45.4166666667,42.5,39.5833333333,31.4583333333,19.1666666667
45.5555555556,45.1111111111,40.8888888889,38.6666666667,36.6666666667,26.6666666667,18.6666666667
44.7826086957,44.1304347826,41.7391304348,40.4347826087,35.4347826087,29.1304347826,17.8260869565
49.512195122,48.0487804878,44.3902439024,40.7317073171,36.3414634146,30.0,19.0243902439
43.1428571429,42.8571428571,41.4285714286,38.8571428571,35.4285714286,32.2857142857,20.0
47.7777777778,46.6666666667,45.5555555556,42.7777777778,39.4444444444,32.7777777778,23.0555555556
48.6046511628,46.7441860465,44.4186046512,39.5348837209,37.2093023256,30.0,19.3023255814
45.4347826087,43.9130434783,42.3913043478,38.2608695652,37.1739130435,31.5217391304,19.5652173913
46.4285714286,45.7142857143,43.5714285714,39.0476190476,37.8571428571,30.9523809524,20.7142857143
45.3658536585,43.4146341463,40.9756097561,37.5609756098,34.1463414634,29.512195122,16.5853658537
46.4864864865,45.4054054054,44.5945945946,41.3513513514,38.9189189189,34.0540540541,24.3243243243
46.1904761905,46.1904761905,43.3333333333,39.5238095238,38.5714285714,31.9047619048,19.7619047619
44.5652173913,44.5652173913,41.3043478261,39.5652173913,37.8260869565,31.3043478261,19.7826086957
46.3157894737,45.5263157895,43.6842105263,44.2105263158,40.2631578947,35.0,21.8421052632
48.1132075472,46.6037735849,43.5849056604,40.0,38.4905660377,33.0188679245,19.8113207547
47.2972972973,46.2162162162,44.0540540541,41.0810810811,40.8108108108,36.4864864865,19.7297297297
46.8965517241,46.2068965517,43.9655172414,40.6896551724,37.9310344828,29.8275862069,15.5172413793
47.4358974359,45.641025641,44.358974359,40.7692307692,39.7435897436,32.0512820513,21.2820512821
46.5384615385,45.3846153846,44.4230769231,40.5769230769,37.3076923077,30.7692307692,20.9615384615
48.4,47.8,44.4,41.0,37.0,32.8,19.4
43.3333333333,43.0555555556,41.1111111111,39.1666666667,36.3888888889,31.6666666667,21.1111111111
44.7368421053,43.1578947368,41.3157894737,39.2105263158,37.6315789474,31.0526315789,21.0526315789
48.4848484848,48.7878787879,48.4848484848,42.4242424242,43.6363636364,35.7575757576,24.5454545455
45.9615384615,45.0,42.1153846154,40.7692307692,37.8846153846,33.6538461538,18.4615384615
44.5945945946,42.972972973,44.0540540541,39.7297297297,36.7567567568,32.4324324324,21.0810810811
46.5517241379,45.6896551724,43.7931034483,39.1379310345,37.2413793103,27.0689655172,15.6896551724
43.9655172414,42.7586206897,41.2068965517,38.1034482759,34.6551724138,27.2413793103,14.1379310345
46.4444444444,45.3333333333,44.0,39.7777777778,35.1111111111,29.5555555556,18.0
48.6538461538,46.5384615385,45.1923076923,42.5,39.8076923077,33.0769230769,20.0
43.0909090909,42.3636363636,40.9090909091,37.8181818182,33.2727272727,26.9090909091,13.6363636364
47.3913043478,45.4347826087,45.0,42.3913043478,38.4782608696,30.652173913,19.1304347826
46.6666666667,45.0,40.2380952381,38.0952380952,35.7142857143,29.0476190476,18.5714285714
48.75,47.25,44.25,40.5,35.75,33.0,18.0
45.1282051282,43.3333333333,43.0769230769,39.4871794872,34.6153846154,31.2820512821,22.0512820513
44.5945945946,42.972972973,40.2702702703,38.1081081081,36.7567567568,32.972972973,21.6216216216
46.3461538462,45.9615384615,43.6538461538,40.9615384615,37.5,30.5769230769,19.4230769231
46.0975609756,44.8780487805,41.4634146341,37.5609756098,35.3658536585,30.243902439,18.0487804878
50.0,49.1891891892,47.2972972973,44.0540540541,41.3513513514,35.1351351351,21.8918918919
45.6603773585,44.9056603774,42.8301886792,39.2452830189,35.4716981132,32.4528301887,19.4339622642
46.3461538462,45.7692307692,43.2692307692,40.1923076923,38.4615384615,31.3461538462,20.0
46.8965517241,47.4137931034,44.3103448276,41.8965517241,37.0689655172,29.3103448276,15.6896551724
46.6666666667,46.1666666667,43.5,40.8333333333,36.1666666667,27.8333333333,15.8333333333
47.3214285714,46.25,43.75,39.8214285714,33.9285714286,26.4285714286,13.2142857143
44.1304347826,43.9130434783,40.2173913043,39.7826086957,35.8695652174,32.6086956522,18.9130434783
47.5,47.2727272727,45.9090909091,40.9090909091,40.9090909091,31.3636363636,18.4090909091
44.7826086957,43.2608695652,41.0869565217,38.4782608696,36.5217391304,30.4347826087,20.4347826087
47.8947368421,47.0175438596,43.8596491228,40.350877193,38.5964912281,30.8771929825,14.3859649123
48.3333333333,46.1904761905,44.0476190476,40.7142857143,37.619047619,32.619047619,18.5714285714
45.6097560976,43.4146341463,40.487804878,38.5365853659,35.8536585366,28.2926829268,16.5853658537
45.3658536585,45.3658536585,40.9756097561,37.3170731707,34.3902439024,27.8048780488,19.0243902439
48.1081081081,46.4864864865,44.5945945946,42.1621621622,38.9189189189,32.7027027027,22.1621621622
46.2745098039,45.0980392157,44.5098039216,40.3921568627,38.0392156863,33.137254902,19.4117647059
48.3783783784,47.2972972973,44.3243243243,41.8918918919,40.0,33.7837837838,21.0810810811
45.8536585366,44.8780487805,40.0,40.7317073171,36.5853658537,27.8048780488,19.2682926829
46.4583333333,45.2083333333,44.5833333333,41.0416666667,38.125,30.8333333333,21.0416666667
46.0869565217,45.2173913043,42.6086956522,38.6956521739,36.7391304348,29.7826086957,20.652173913
44.8,44.4,43.4,39.8,38.8,31.8,20.6
47.25,44.75,43.0,41.75,38.5,28.25,18.25
44.8648648649,45.1351351351,43.5135135135,41.3513513514,37.5675675676,32.7027027027,22.972972973
46.3157894737,46.0526315789,44.2105263158,40.7894736842,38.9473684211,30.5263157895,21.0526315789
45.4166666667,45.0,43.75,39.7916666667,35.4166666667,29.7916666667,19.1666666667
46.4864864865,44.0540540541,41.6216216216,41.0810810811,38.9189189189,34.0540540541,21.6216216216
46.8421052632,46.0526315789,44.7368421053,43.6842105263,38.6842105263,32.6315789474,19.4736842105
45.0,44.1379310345,42.4137931034,38.4482758621,35.5172413793,29.3103448276,16.3793103448
46.3636363636,45.4545454545,42.9545454545,40.6818181818,37.2727272727,30.4545454545,18.8636363636
49.7222222222,48.3333333333,46.3888888889,43.0555555556,41.1111111111,34.4444444444,21.3888888889
47.4358974359,46.6666666667,45.1282051282,42.3076923077,37.9487179487,32.0512820513,21.7948717949
47.5609756098,46.3414634146,42.9268292683,40.9756097561,36.3414634146,30.243902439,16.5853658537
43.7735849057,42.641509434,40.7547169811,38.679245283,35.6603773585,28.1132075472,14.5283018868
47.5510204082,45.9183673469,44.2857142857,40.0,39.1836734694,32.6530612245,20.2040816327
47.4358974359,46.9230769231,44.6153846154,41.5384615385,39.4871794872,32.3076923077,19.7435897436
47.5555555556,46.4444444444,43.7777777778,38.4444444444,36.4444444444,30.8888888889,19.7777777778
46.0,45.4285714286,43.7142857143,43.1428571429,42.2857142857,35.1428571429,24.5714285714
46.5909090909,44.7727272727,44.5454545455,39.7727272727,37.2727272727,30.6818181818,17.5
47.1052631579,46.3157894737,44.4736842105,43.9473684211,40.2631578947,31.8421052632,20.5263157895
47.0175438596,46.1403508772,45.2631578947,41.9298245614,38.2456140351,29.649122807,14.9122807018
45.0,44.5238095238,42.619047619,37.619047619,35.4761904762,29.7619047619,18.3333333333
44.6666666667,43.1111111111,41.5555555556,38.8888888889,36.8888888889,27.1111111111,18.0
45.8333333333,43.0555555556,41.6666666667,39.1666666667,38.8888888889,33.0555555556,23.0555555556
44.8214285714,45.3571428571,43.3928571429,39.2857142857,35.0,28.75,14.4642857143
