,feats,500_ten_aft,500_twen_aft,500_threefive_aft,500_fifty_aft,500_sixty_aft,500_sevenfive_aft,500_nine_bef
0,feat1,0.1818347145685001,0.16876930452545605,0.26798310919158086,0.14276027421571758,0.1477857894481354,0.11355751344009501,0.08624024177713863
1,feat2,0.2314386751573211,0.13698683974461845,0.17739351400997586,0.10331690213145596,0.07174128867147476,,0.031589451527482354
2,feat3,0.08700936679933723,0.07139602566508198,0.10123511017796451,0.09691484180728845,0.08013057297027273,0.07459828809586386,0.029662336923386063
3,feat8,0.13361855732809125,0.1652674594022971,0.11147706760779558,0.10357657812271807,0.07682428206254234,0.04855468962188932,0.017041499466842535
4,feat9,0.10865215612631988,0.07157077417501298,0.054186322432729826,0.04927718264851193,0.03863276715716688,0.022700488088010045,0.05024325628888963
5,feat11,0.060575548235117085,0.04200121837949204,0.0652813573428907,0.11789385531512142,0.20754998793611754,0.12507361524530894,0.09003862473616739
6,feat14,0.09008780644819504,0.09168052214024071,0.06220656071737717,0.06313444437067232,0.05993278260845907,0.06902446375247426,0.06114967488298594
7,feat52,0.05331529918389812,0.10415547714005831,0.09108169561787431,0.21942203728208096,0.12712797357743252,0.09382124904596986,0.059790419380640045
8,feat77,0.05346787615322008,,,,,,0.00617484785141221
9,feat6,,0.06237059335024073,,,,,0.002733012325176764
10,feat20,,0.052331383226625644,0.06915526290181111,,0.0575072577415232,,0.027439216266031404
11,feat69,,0.03347040225087606,,,,,0.01262702897104749
12,feat5,,,,0.03990117758511682,,0.05291142019932219,0.04050667831247846
13,feat62,,,,0.06380270652131659,0.05651639803721844,0.1776733029670285,0.07852295071280098
14,feat36,,,,,0.07625089978965718,,0.03302482542852594
15,feat19,,,,,,0.06912684622084879,0.026620658572755636
16,feat70,,,,,,0.06087233588863796,0.055114356306965484
17,feat81,,,,,,0.0920857874345513,0.05528531568999487
18,feat7,,,,,,,0.008844603761498999
19,feat12,,,,,,,0.002086614798889922
20,feat13,,,,,,,0.01718470699299645
21,feat15,,,,,,,0.005819446243327452
22,feat16,,,,,,,0.03246935742142595
23,feat17,,,,,,,0.000733075974006522
24,feat18,,,,,,,0.0011391738340202561
25,feat21,,,,,,,0.0013114750374422306
26,feat22,,,,,,,0.006109797863947659
27,feat23,,,,,,,0.0
28,feat24,,,,,,,0.012742893539348231
29,feat26,,,,,,,0.004983748145051178
30,feat27,,,,,,,0.0
31,feat30,,,,,,,0.0
32,feat31,,,,,,,0.003158757554943478
33,feat32,,,,,,,0.0
34,feat33,,,,,,,0.004983862418996961
35,feat49,,,,,,,0.0022418729501716716
36,feat51,,,,,,,0.001641896143118673
37,feat54,,,,,,,0.004198465464114292
38,feat55,,,,,,,8.0802965430004e-05
39,feat56,,,,,,,0.0
40,feat59,,,,,,,0.0034475155738923234
41,feat60,,,,,,,0.004414692425194453
42,feat67,,,,,,,6.914503309030806e-05
43,feat84,,,,,,,0.0002936818601091566
44,feat85,,,,,,,0.010183476037418504
45,feat91,,,,,,,0.0078009344808031966
46,feat104,,,,,,,0.03574867947797114
47,feat109,,,,,,,0.0018675487328919575
48,feat113,,,,,,,0.009918936778629572
49,feat121,,,,,,,0.01762897498663746
50,feat151,,,,,,,0.000838721344319127
51,feat157,,,,,,,0.005554373468620856
52,feat162,,,,,,,0.014003687420949824
53,feat169,,,,,,,0.0030391193858083274
54,feat177,,,,,,,0.010911254734947725
55,feat208,,,,,,,0.0002590452437733979
56,feat228,,,,,,,0.00048526648549087877
