,feats,300_ten_aft,300_twen_aft,300_threefive_aft,300_fifty_aft,300_sixty_aft,300_sevenfive_aft,300_nine_aft
0,feat1,0.07601545289689367,0.09402609367945572,0.059260926098633225,0.16809505037256858,0.10804513142170305,0.1182281785020139,0.029056522477776837
1,feat2,0.18900426833123624,0.11455762322081922,0.1766296072884392,0.08498963563964969,0.1205350528707898,0.12377592692035379,0.09646038868392802
2,feat6,0.08066977780111863,0.07372966369181548,0.06405312029277523,,,,
3,feat7,0.04280036365842639,,,,,,
4,feat8,0.07642804544568026,,0.0650602586077716,,0.04079680457712847,,
5,feat9,0.0411139752717468,0.0519915046460528,0.04855523134657218,,0.0632575093828811,0.07012459140504308,0.0231269525714358
6,feat11,0.05432664554488678,0.08401382368776637,0.04766348745686667,0.08762295094496576,0.055419426978115846,,
7,feat14,0.0539589949864842,,0.05410760775615712,0.05440938724002094,0.06313607572268626,0.08555227040762303,0.1376176140498322
8,feat22,0.08641199880964819,0.11066098308264624,0.07920632499122338,,,0.03429944297978164,
9,feat25,0.09556413951142495,0.10421009837068018,0.054617092004641814,,0.054964918459019116,,
10,feat62,0.06631035243823986,0.07930853166751195,0.07417560901179143,0.03245893208874262,,0.15859251384262954,0.23476343343039516
11,feat69,0.06855185291637694,0.12932847009366244,0.072602970754417,,0.042039810997294695,0.059739478634612694,
12,feat78,0.06884413238783713,0.035229733841251935,0.03614868020635545,,,,
13,feat3,,0.06525566464163812,,,0.06327633025754663,,0.03458507142853284
14,feat125,,0.05768780937669943,0.05589329833372622,0.03881407232812855,0.05597385963970312,0.14097999967407085,0.23066502657532034
15,feat18,,,0.03644868555061014,0.11468559765003067,0.10256416948300522,0.05513734206196108,
16,feat59,,,0.07557710030001936,0.09347104262054619,0.1056729527446137,0.054599122128250056,
17,feat81,,,,0.16759575230491386,0.03613725587960293,,
18,feat92,,,,0.15785757881043308,0.059604258961614046,,
19,feat91,,,,,0.028576442624296074,0.09897113344366025,
20,feat63,,,,,,,0.06198869733906827
21,feat131,,,,,,,0.15173629344371053
