,feats,500_ten_aft,500_twen_aft,500_threefive_aft,500_fifty_aft,500_sixty_aft,500_sevenfive_aft,500_nine_aft
0,feat1,0.1818347145685001,0.16876930452545605,0.26798310919158086,0.14276027421571758,0.1477857894481354,0.11355751344009501,0.10597149901353438
1,feat2,0.2314386751573211,0.13698683974461845,0.17739351400997586,0.10331690213145596,0.07174128867147476,,0.05560527644219969
2,feat3,0.08700936679933723,0.07139602566508198,0.10123511017796451,0.09691484180728845,0.08013057297027273,0.07459828809586386,
3,feat8,0.13361855732809125,0.1652674594022971,0.11147706760779558,0.10357657812271807,0.07682428206254234,0.04855468962188932,
4,feat9,0.10865215612631988,0.07157077417501298,0.054186322432729826,0.04927718264851193,0.03863276715716688,0.022700488088010045,0.07157344919473041
5,feat11,0.060575548235117085,0.04200121837949204,0.0652813573428907,0.11789385531512142,0.20754998793611754,0.12507361524530894,0.16529693076728458
6,feat14,0.09008780644819504,0.09168052214024071,0.06220656071737717,0.06313444437067232,0.05993278260845907,0.06902446375247426,0.12117611060625262
7,feat52,0.05331529918389812,0.10415547714005831,0.09108169561787431,0.21942203728208096,0.12712797357743252,0.09382124904596986,0.06551429636010787
8,feat77,0.05346787615322008,,,,,,
9,feat6,,0.06237059335024073,,,,,
10,feat20,,0.052331383226625644,0.06915526290181111,,0.0575072577415232,,
11,feat69,,0.03347040225087606,,,,,
12,feat5,,,,0.03990117758511682,,0.05291142019932219,0.027549239649933863
13,feat62,,,,0.06380270652131659,0.05651639803721844,0.1776733029670285,0.11526992165169231
14,feat36,,,,,0.07625089978965718,,0.03532793422953374
15,feat19,,,,,,0.06912684622084879,
16,feat70,,,,,,0.06087233588863796,0.06486918093260087
17,feat81,,,,,,0.0920857874345513,0.0825185597559107
18,feat16,,,,,,,0.04363871115713054
19,feat104,,,,,,,0.04568889023908835
