,feats,300_ten_aft,300_twen_aft,300_threefive_aft,300_fifty_aft,300_sixty_aft,300_sevenfive_aft,300_nine_bef
0,feat1,0.07601545289689367,0.09402609367945572,0.059260926098633225,0.16809505037256858,0.10804513142170305,0.1182281785020139,0.04724776977584311
1,feat2,0.18900426833123624,0.11455762322081922,0.1766296072884392,0.08498963563964969,0.1205350528707898,0.12377592692035379,0.08794037380892512
2,feat6,0.08066977780111863,0.07372966369181548,0.06405312029277523,,,,0.0015557472581018605
3,feat7,0.04280036365842639,,,,,,0.005208454510260521
4,feat8,0.07642804544568026,,0.0650602586077716,,0.04079680457712847,,0.017944778649836353
5,feat9,0.0411139752717468,0.0519915046460528,0.04855523134657218,,0.0632575093828811,0.07012459140504308,0.0487644479286448
6,feat11,0.05432664554488678,0.08401382368776637,0.04766348745686667,0.08762295094496576,0.055419426978115846,,0.026965174354679277
7,feat14,0.0539589949864842,,0.05410760775615712,0.05440938724002094,0.06313607572268626,0.08555227040762303,0.12510027643858224
8,feat22,0.08641199880964819,0.11066098308264624,0.07920632499122338,,,0.03429944297978164,0.005007701054657959
9,feat25,0.09556413951142495,0.10421009837068018,0.054617092004641814,,0.054964918459019116,,0.002836378421503134
10,feat62,0.06631035243823986,0.07930853166751195,0.07417560901179143,0.03245893208874262,,0.15859251384262954,0.14640954167780657
11,feat69,0.06855185291637694,0.12932847009366244,0.072602970754417,,0.042039810997294695,0.059739478634612694,0.009020718043465681
12,feat78,0.06884413238783713,0.035229733841251935,0.03614868020635545,,,,0.002965286428848591
13,feat3,,0.06525566464163812,,,0.06327633025754663,,0.04697709054479103
14,feat125,,0.05768780937669943,0.05589329833372622,0.03881407232812855,0.05597385963970312,0.14097999967407085,0.15072143714131614
15,feat18,,,0.03644868555061014,0.11468559765003067,0.10256416948300522,0.05513734206196108,0.0008436852205994871
16,feat59,,,0.07557710030001936,0.09347104262054619,0.1056729527446137,0.054599122128250056,0.0014684080896570416
17,feat81,,,,0.16759575230491386,0.03613725587960293,,0.004387448384498694
18,feat92,,,,0.15785757881043308,0.059604258961614046,,0.0047874082172973025
19,feat91,,,,,0.028576442624296074,0.09897113344366025,0.004471111354360265
20,feat5,,,,,,,0.014097129973859217
21,feat10,,,,,,,0.001829125667492227
22,feat12,,,,,,,0.00235300491496168
23,feat13,,,,,,,0.009102009555026786
24,feat16,,,,,,,0.02059967814843639
25,feat17,,,,,,,0.0008770584142192251
26,feat20,,,,,,,0.0076231332468193035
27,feat24,,,,,,,0.0025775708600970755
28,feat31,,,,,,,0.0011257956014823665
29,feat33,,,,,,,0.002195329000417253
30,feat36,,,,,,,0.001979293462485771
31,feat49,,,,,,,0.00023325416241871567
32,feat51,,,,,,,2.0420374970364665e-05
33,feat52,,,,,,,0.00041248898299068546
34,feat54,,,,,,,0.007427988796937822
35,feat60,,,,,,,0.00040981280570966436
36,feat63,,,,,,,0.04063051989936091
37,feat67,,,,,,,0.0
38,feat70,,,,,,,0.017706450158146366
39,feat84,,,,,,,0.00016074203759152894
40,feat87,,,,,,,0.0008085235179331091
41,feat88,,,,,,,0.0002451670726656922
42,feat109,,,,,,,0.00024752153425025385
43,feat116,,,,,,,0.006577517240434176
44,feat131,,,,,,,0.11333463366306451
45,feat143,,,,,,,0.0007484307035334242
46,feat147,,,,,,,0.0002555699379517203
47,feat157,,,,,,,0.002564544146500703
48,feat177,,,,,,,0.0032340488165680187
49,feat208,,,,,,,0.0
