,300_ten_bef,300_ten_aft,300_twen_bef,300_twen_aft,300_threefive_bef,300_threefive_aft,300_fifty_bef,300_fifty_aft,300_sixty_bef,300_sixty_aft,300_sevenfive_bef,300_sevenfive_aft,300_nine_bef,300_nine_aft
100,1.0041510200419628,0.9809281946489611,1.51403990566716,1.522541579812065,1.7606292805419663,1.7696082125426462,2.3040435026951087,2.3355591179194746,2.5983840574435106,2.531216121598992,2.5201349224152247,2.4641279238724767,1.9372902954072848,1.727258294807001
110,1.0111141130221557,0.9844506298446004,1.50864360177156,1.524155951402598,1.7549945015464616,1.7728149128702366,2.311833572778914,2.3328023030498812,2.5989983806680126,2.5272642161012606,2.5306556139211955,2.4781115413298878,1.9448345532676774,1.7573886737589322
120,1.0124048371750447,0.9813113530270984,1.505840012579105,1.5267549737878694,1.7594896172173864,1.785218655333654,2.3194995440770216,2.324296399116159,2.602517060061983,2.540042512754376,2.529505207949659,2.4758471097478814,1.979040119907822,1.7629771356375992
130,1.0075981538093688,0.9804483459465687,1.5030329045476185,1.523504426568143,1.7648099350834456,1.7830000041586809,2.320939876939,2.3180406764585606,2.5988317110073726,2.5406851424847585,2.5107508175692255,2.461820200552032,1.9476020087205672,1.7535275270156543
140,1.0062244239977236,0.9812447586081463,1.5043166201879687,1.5226012746170983,1.7670080720023424,1.782982921122711,2.3137535737926362,2.319681437800715,2.591480722932941,2.5375072925703184,2.51933975732911,2.4501039821815755,1.9496582336943906,1.737419446545043
150,1.0074831245127065,0.9838743763539354,1.5050648009119687,1.5265026695128632,1.7640457048776086,1.7891236636782073,2.325280831217174,2.320906078533854,2.600265563327646,2.5354016196362608,2.509859079354608,2.463472413669732,1.9412401741648162,1.746794209222918
160,1.0141781500740215,0.988713707423277,1.505265910364663,1.5195101695221611,1.760381600177113,1.7891558525307167,2.330469919946444,2.3261085753857036,2.5930828827543944,2.536460119529283,2.511422013372975,2.4636735271184262,1.9385833827189725,1.729250000376831
170,1.0150009042306343,0.9870362032891228,1.502445301082774,1.5218604579230062,1.7584121288836643,1.788643622618701,2.3263486276192817,2.327401841462443,2.5940728107113302,2.5424197327681166,2.5011402037697157,2.4720946503748316,1.9273358222219823,1.727793870489415
180,1.0178585344602888,0.9871557046726028,1.504083627073722,1.5224647370286764,1.7655538893543818,1.7954106579894722,2.3236563160873653,2.3249504106179195,2.6031610079103804,2.5486075401757415,2.495276558882416,2.4743786801857754,1.9079715121438874,1.7231316276866413
190,1.0104234451404521,0.9857573592409429,1.5009960359316286,1.5267392369532524,1.7631754111171067,1.794572746406212,2.319987405079796,2.332601091684198,2.604964592696602,2.5498397469589085,2.5019956580996605,2.471654189417991,1.901370447326644,1.7267656001650034
200,1.0112393205644579,0.9865877675143923,1.5022879578473745,1.530300002149879,1.7641781335550535,1.7892322800243161,2.3187683655599445,2.33119037275449,2.6040710190710157,2.549234465039949,2.5000654671816562,2.465228648607204,1.934137513092513,1.7230395344092713
210,1.013323949728651,0.98757184294878,1.5038680601204286,1.5314766469294707,1.7616735714046963,1.7873361628844118,2.3189079215051644,2.337642365177922,2.598476386357277,2.5537257424679245,2.4924708566946956,2.4627933377631654,1.9279051821246096,1.7286767060136128
220,1.0144522904545104,0.9882894606968633,1.5025627423070225,1.530651840527162,1.7627603763692452,1.7875262594820138,2.321199130604524,2.3460589429896888,2.601461488692425,2.552001440907285,2.4811286842198736,2.4570290033718276,1.9384355739610364,1.735809977758256
230,1.0169409048242175,0.9872772375947333,1.5014954316248006,1.529219332947269,1.7566110214014887,1.788581599310021,2.3184198741659827,2.342545699326983,2.602556425347478,2.559189146517409,2.4732655933538084,2.455631892604035,1.9320199684844563,1.7280016613222353
240,1.015649374035359,0.9868126590824593,1.4995814793205593,1.5283900130958266,1.7548876199030388,1.7841518113059243,2.311968594007438,2.341447078717753,2.6015066613781914,2.5611377050827895,2.4695971531884404,2.4608755232191424,1.9282817287271596,1.7302924820722714
250,1.0186113709007119,0.9863392574497754,1.4971595612409716,1.5271430223532587,1.7555398245629812,1.7855977551763242,2.3101444680300744,2.337185270478045,2.6085250231654706,2.5634795051015122,2.4689978843608076,2.458235064332367,1.9141316222388245,1.7296379120420213
260,1.018303180768802,0.9872626811092775,1.5009225127931942,1.527328835855682,1.7595165119691338,1.785417569768181,2.306954902525474,2.3357699695319214,2.617351175911846,2.573103142141984,2.477229561600324,2.4592972964433994,1.906001858530909,1.7406364352370434
270,1.0185899397693081,0.9877268020925297,1.5000403229587673,1.5258117240327171,1.7552907600830001,1.782373149231242,2.305116064056722,2.3353607952528166,2.605868023750167,2.570266770221409,2.4746274140914064,2.457639688360273,1.895612977774277,1.7327168641685498
280,1.018181079830684,0.9865260343488972,1.4984671724684213,1.5277153203240053,1.754880805886342,1.7818100286476326,2.305598080060538,2.3371492219344026,2.6093289628437435,2.5714613850221966,2.473721329460807,2.4534840535035776,1.8900306953636559,1.7245041297547774
290,1.0175290048658463,0.9843786123348333,1.4956352072591848,1.5278880218393285,1.7518298273049238,1.7803392677594274,2.3063869824446828,2.334163882030913,2.606310629233434,2.5687860730242504,2.4702832774260757,2.4555516587795267,1.879995709279687,1.724885998398436
